"model_id","decile","n_games","mean_predicted_probability","observed_has_review_rate","absolute_gap"
"LINEAR_BENCHMARK",1,300,0.0708047543845598,0.06,0.0108047543845598
"LINEAR_BENCHMARK",2,300,0.523053514732553,0.536666666666667,0.0136131519341136
"LINEAR_BENCHMARK",3,300,0.778876885912081,0.776666666666667,0.00221021924541487
"LINEAR_BENCHMARK",4,300,0.813523641939488,0.796666666666667,0.0168569752728213
"LINEAR_BENCHMARK",5,300,0.838910555627136,0.853333333333333,0.014422777706197
"LINEAR_BENCHMARK",6,300,0.857320311405582,0.846666666666667,0.0106536447389149
"LINEAR_BENCHMARK",7,300,0.871244592317517,0.893333333333333,0.0220887410158158
"LINEAR_BENCHMARK",8,300,0.885546427453808,0.896666666666667,0.011120239212859
"LINEAR_BENCHMARK",9,299,0.903274867239979,0.889632107023411,0.0136427602165672
"LINEAR_BENCHMARK",10,299,0.930222774459693,0.923076923076923,0.00714585138276969
"NONLINEAR_PRICE_DF3_PRIMARY",1,300,0.0713088455135653,0.06,0.0113088455135653
"NONLINEAR_PRICE_DF3_PRIMARY",2,300,0.510544312838471,0.513333333333333,0.00278902049486185
"NONLINEAR_PRICE_DF3_PRIMARY",3,300,0.769279052049743,0.78,0.0107209479502575
"NONLINEAR_PRICE_DF3_PRIMARY",4,300,0.810560602528624,0.796666666666667,0.013893935861957
"NONLINEAR_PRICE_DF3_PRIMARY",5,300,0.835840997338976,0.88,0.0441590026610241
"NONLINEAR_PRICE_DF3_PRIMARY",6,300,0.857269651929883,0.833333333333333,0.02393631859655
"NONLINEAR_PRICE_DF3_PRIMARY",7,300,0.876529674245359,0.893333333333333,0.0168036590879741
"NONLINEAR_PRICE_DF3_PRIMARY",8,300,0.894742553556384,0.88,0.0147425535563838
"NONLINEAR_PRICE_DF3_PRIMARY",9,299,0.910508398543509,0.899665551839465,0.0108428467040446
"NONLINEAR_PRICE_DF3_PRIMARY",10,299,0.936238400786628,0.936454849498328,0.00021644871169979
