"appid","name","is_free","current_price_usd","days_since_release","release_month","platform_segment","has_review","total_reviews","genres","fitted_probability","deviance_residual","standardized_deviance_residual","leverage","cooks_distance","influence_diagnostic_defined"
4165690,"House in a Meadow VR",0,179.99,275,"2025-12","Windows only",0,0,"Simulation",0.557445155173397,-1.27686403277992,-1.34339928836794,0.0966020937217164,0.00931844493082499,TRUE
3746510,"3D PUZZLE - Mountain Life",0,199.99,333,"2025-10","Windows only",1,10,"Action; Adventure; Casual; Indie; RPG; Racing; Simulation; Sports; Strategy",0.505314199247914,1.16839622256316,1.24416554264817,0.118090644334248,0.00928999654966612,TRUE
3465850,"ManHunter",0,199.99,421,"2025-07","Windows only",0,0,"Action; Adventure; Indie; RPG; Strategy",0.477544185120556,-1.13948660680414,-1.21209990300624,0.116225193717936,0.00850082461409262,TRUE
3934520,"The Quiet Hum of a Lonely Heart",0,0.49,379,"2025-08","Windows + macOS + Linux",0,0,"Indie; Simulation",0.941280363459057,-2.38116823613657,-2.39094062307827,0.00815780678356649,0.00830814205366373,TRUE
3600280,"Processor Dev Tycoon",0,199.99,314,"2025-11","Windows only",1,10,"Indie; Simulation; Strategy",0.526919842617148,1.13199544460663,1.20043122424178,0.11076859602594,0.00786062836361171,TRUE
3994850,"SAKA SHAHEEDI Chandni Chowk 1675",0,149.99,314,"2025-11","Windows only",0,0,"Casual; Indie; Simulation",0.563354283859625,-1.28734853937116,-1.34170039210919,0.0793783246789626,0.00755217338036005,TRUE
4249550,"The Frog That Leapt Too Far",1,,258,"2025-12","Windows + Linux",1,1,"Free To Play; Indie; Strategy",0.067463415275147,2.32214117743099,2.33007717416643,0.00680018862891319,0.00595559663459148,TRUE
2730970,"Westland Survival",1,,354,"2025-09","Windows + macOS",1,1,"Action; Adventure; RPG; Simulation; Strategy",0.175512540954164,1.8654998151707,1.88301046557199,0.0185120926923382,0.00564210972344784,TRUE
3873440,"Wolvenrise",0,5.99,265,"2025-12","Windows + macOS + Linux",0,0,"Action; Early Access; Indie; RPG; Strategy",0.917214656451438,-2.23226532631861,-2.24124279003995,0.00799510326482585,0.00562592571487007,TRUE
2327050,"Pyrite Tycoon",1,,437,"2025-07","Windows + macOS",1,2,"Adventure; Casual; Free To Play; Indie; Strategy",0.0815958148244048,2.2387395146573,2.2473476924106,0.00764607231950869,0.00546199380634657,TRUE
3618780,"Weird Island VR",0,9.99,310,"2025-11","Windows + macOS + Linux",0,0,"Adventure; Casual; RPG",0.917666398697648,-2.23471518379552,-2.24333425219748,0.00766939730072589,0.00542545545005513,TRUE
3476730,"Killer Chat! - Original Edition",1,,289,"2025-11","Windows + macOS + Linux",1,28,"Casual; Free To Play; Indie; RPG; Simulation",0.161410272681874,1.90987218306581,1.92533094528504,0.0159938237441064,0.00536358343882566,TRUE
3454830,"SurfsUp",1,,434,"2025-07","Windows + macOS + Linux",1,13,"Action; Casual; Free To Play; Indie; Racing; Sports",0.114295427414231,2.08277157370002,2.09411061900675,0.0108001423277752,0.00534566127547092,TRUE
3381290,"LIBRA: There Are Two",0,8.99,288,"2025-11","Windows + macOS + Linux",0,0,"Adventure; Early Access; Indie; RPG",0.949631613571554,-2.44474602121136,-2.45011208406951,0.00437546241791067,0.00520127621989095,TRUE
3726010,"Battlement",0,4.99,391,"2025-08","Windows + macOS + Linux",0,0,"Action; Strategy",0.895686426791486,-2.12619556448368,-2.13633402728365,0.00946893647834197,0.00517917030142968,TRUE
4074220,"Back From Earth",0,14.99,306,"2025-11","Windows + macOS + Linux",0,0,"Adventure; Indie",0.95598800931726,-2.49931717341864,-2.50405630319849,0.00378158045403032,0.00517279967448858,TRUE
3572030,"Motamo",1,,435,"2025-07","Windows + macOS + Linux",1,1,"Casual; Free To Play; Indie",0.10397801701009,2.12771040185762,2.13774577726237,0.00936670825417005,0.00514065320565042,TRUE
2767430,"Wisps of the Elements",0,5.99,324,"2025-10","Windows + macOS + Linux",0,0,"RPG; Strategy",0.89525439040402,-2.1242507546065,-2.13429562891753,0.00939067345436005,0.00511190250271869,TRUE
3822910,"Red Pearl Pirates",0,3.99,413,"2025-07","Windows + Linux",0,0,"Adventure; Early Access; Indie; Simulation; Strategy",0.896655787938964,-2.13058207901145,-2.14032498803029,0.0090834185197258,0.00501642990923064,TRUE
4045890,"Caveman Caravan",1,,342,"2025-10","Windows + macOS + Linux",1,16,"Free To Play; Indie; Strategy",0.129168086002677,2.02318596797694,2.03504284165049,0.0116187554171751,0.00501152323057487,TRUE
