"decile","n_games","mean_predicted_probability","observed_has_review_rate","absolute_gap"
1,300,0.0708047543845598,0.06,0.0108047543845598
2,300,0.523053514732553,0.536666666666667,0.0136131519341136
3,300,0.778876885912081,0.776666666666667,0.00221021924541487
4,300,0.813523641939488,0.796666666666667,0.0168569752728213
5,300,0.838910555627136,0.853333333333333,0.014422777706197
6,300,0.857320311405582,0.846666666666667,0.0106536447389149
7,300,0.871244592317517,0.893333333333333,0.0220887410158158
8,300,0.885546427453808,0.896666666666667,0.011120239212859
9,299,0.903274867239979,0.889632107023411,0.0136427602165672
10,299,0.930222774459693,0.923076923076923,0.00714585138276969
