"genre","indicator","n_games","has_review_n","zero_review_n","has_review_rate","has_review_percent"
"Indie","genre_indie",2218,1683,535,0.758791704238052,75.8791704238052
"Casual","genre_casual",1370,977,393,0.713138686131387,71.3138686131387
"Adventure","genre_adventure",1187,928,259,0.781802864363943,78.1802864363943
"Action","genre_action",1135,864,271,0.761233480176212,76.1233480176212
"Simulation","genre_simulation",676,553,123,0.818047337278107,81.8047337278107
"Strategy","genre_strategy",642,474,168,0.738317757009346,73.8317757009346
"RPG","genre_rpg",572,434,138,0.758741258741259,75.8741258741259
"Free To Play","genre_free_to_play",396,34,362,0.0858585858585859,8.58585858585858
"Early Access","genre_early_access",341,259,82,0.759530791788856,75.9530791788856
"Racing","genre_racing",108,82,26,0.759259259259259,75.9259259259259
"Sports","genre_sports",107,79,28,0.738317757009346,73.8317757009346
"Massively Multiplayer","genre_massively_multiplayer",43,15,28,0.348837209302326,34.8837209302326
"Game Development","genre_game_development",1,0,1,0,0
