"appid","name","release_date","release_month","is_free","platform_windows","platform_mac","platform_linux","list_price_usd","current_price_usd","discount_percent","price_currency","total_reviews","positive_reviews","negative_reviews","positive_rate","review_score","review_score_desc","metadata_collected_at","review_collected_at","review_collection_date","metadata_collection_date","days_since_release","platform_segment","price_band","log1p_current_price","genre_action","genre_adventure","genre_casual","genre_early_access","genre_free_to_play","genre_game_development","genre_indie","genre_massively_multiplayer","genre_rpg","genre_racing","genre_simulation","genre_sports","genre_strategy","has_review","log1p_current_price_paid","z_log1p_paid_price_component","z_days_since_release"
267390,"Revolution Editions - Shadow & Steel",2025-08-15,"2025-08",0,1,0,0,17.99,17.99,0,"USD",14,12,2,0.857142857142857,7,"Positive",2026-09-12 12:51:25.865935,2026-09-13 18:40:37.268199,2026-09-13,2026-09-12,394,"Windows only","$10.00-$19.99",2.94391252482419,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2.94391252482419,1.36137251577438,0.940715036609189
427410,"Abiotic Factor",2025-07-22,"2025-07",0,1,0,0,34.99,34.99,0,"USD",41961,40249,1712,0.959200209718548,9,"Overwhelmingly Positive",2026-09-12 12:51:36.430126,2026-09-13 18:40:39.520996,2026-09-13,2026-09-12,418,"Windows only","$30.00+",3.58324112209094,1,1,0,0,0,0,0,0,1,0,1,0,0,1,3.58324112209094,2.23348073223332,1.40304913196726
444930,"Zaccaria Pinball",2025-10-16,"2025-10",1,1,1,1,,,,,214,170,44,0.794392523364486,6,"Mostly Positive",2026-09-12 12:51:42.741808,2026-09-13 18:40:41.692266,2026-09-13,2026-09-12,332,"Windows + macOS + Linux","Free",,1,0,1,0,1,0,1,0,0,1,1,1,0,1,,0,-0.253648043065819
496170,"Desert Race Adventures",2025-11-18,"2025-11",0,1,0,0,5.99,5.99,0,"USD",9,7,2,0.777777777777778,0,"9 user reviews",2026-09-12 12:51:44.89595,2026-09-13 18:40:43.812962,2026-09-13,2026-09-12,299,"Windows only","$5.00-$9.99",1.94448055624572,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1.94448055624572,-0.00195275282042951,-0.889357424183163
497880,"Doodle WHAT?!",2025-12-09,"2025-12",0,1,0,0,9.99,9.99,0,"USD",12,5,7,0.416666666666667,5,"Mixed",2026-09-12 12:51:46.984899,2026-09-13 18:40:45.990494,2026-09-13,2026-09-12,278,"Windows only","$5.00-$9.99",2.39698576841553,0,0,1,0,0,0,1,0,0,0,0,0,1,1,2.39698576841553,0.615309661548216,-1.29389975762147
523630,"Rabidja's Revenge",2025-10-23,"2025-10",0,1,0,0,6.99,6.99,0,"USD",0,0,0,,0,"No user reviews",2026-09-12 12:51:48.992672,2026-09-13 18:40:48.175571,2026-09-13,2026-09-12,325,"Windows only","$5.00-$9.99",2.07819075977818,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2.07819075977818,0.18044135190692,-0.388495487545256
533610,"Jet Gunner: Refueled",2025-10-13,"2025-10",0,1,0,0,5.99,5.99,0,"USD",10,9,1,0.9,7,"Positive",2026-09-12 12:51:55.450961,2026-09-13 18:40:50.344439,2026-09-13,2026-09-12,335,"Windows only","$5.00-$9.99",1.94448055624572,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1.94448055624572,-0.00195275282042951,-0.195856281146061
541300,"Survive the Nights",2025-12-05,"2025-12",0,1,0,0,19.99,19.99,0,"USD",4715,3225,1490,0.683987274655355,5,"Mixed",2026-09-12 12:51:57.578262,2026-09-13 18:40:52.522939,2026-09-13,2026-09-12,282,"Windows only","$10.00-$19.99",3.04404613383254,1,1,0,0,0,0,1,1,0,0,1,0,0,1,3.04404613383254,1.49796478387127,-1.21684407506179
606160,"ROUTINE",2025-12-04,"2025-12",0,1,0,0,24.99,17.49,30,"USD",7248,6649,599,0.91735651214128,8,"Very Positive",2026-09-12 12:52:03.884435,2026-09-13 18:40:54.606101,2026-09-13,2026-09-12,283,"Windows only","$10.00-$19.99",2.91723004539903,1,1,0,0,0,0,1,0,0,0,0,0,0,1,2.91723004539903,1.32497494237994,-1.19758015442187
633080,"Relic Hunters Legend",2025-08-14,"2025-08",0,1,0,0,19.99,19.99,0,"USD",1101,726,375,0.659400544959128,5,"Mixed",2026-09-12 12:52:10.45351,2026-09-13 18:40:56.647108,2026-09-13,2026-09-12,395,"Windows only","$10.00-$19.99",3.04404613383254,1,1,0,0,0,0,1,0,1,0,0,0,0,1,3.04404613383254,1.49796478387127,0.959978957249108
