"scenario","reference_probability","modified_probability","probability_point_difference","percentage_point_difference","interpretation_scope"
"REFERENCE",0.823678698618011,0.823678698618011,0,0,"One-at-a-time conditional contrast"
"FREE_VS_PAID",0.823678698618011,0.0657413200906504,-0.75793737852736,-75.793737852736,"One-at-a-time conditional contrast"
"PAID_PRICE_PLUS_1_SD",0.823678698618011,0.848550537732761,0.0248718391147499,2.48718391147499,"Paid games only price gradient"
"DAYS_PLUS_1_SD",0.823678698618011,0.824911007029207,0.00123230841119626,0.123230841119626,"One-at-a-time conditional contrast"
"PLATFORM_WINDOWS_MACOS",0.823678698618011,0.874083594747902,0.0504048961298917,5.04048961298917,"One-at-a-time conditional contrast"
"PLATFORM_WINDOWS_LINUX",0.823678698618011,0.828596672254836,0.004917973636825,0.4917973636825,"One-at-a-time conditional contrast"
"PLATFORM_WINDOWS_MACOS_LINUX",0.823678698618011,0.905632349993194,0.0819536513751833,8.19536513751833,"One-at-a-time conditional contrast"
"GENRE_ACTION",0.823678698618011,0.840191464641861,0.0165127660238501,1.65127660238501,"One-at-a-time conditional contrast"
"GENRE_ADVENTURE",0.823678698618011,0.855636706772158,0.0319580081541474,3.19580081541474,"One-at-a-time conditional contrast"
"GENRE_CASUAL",0.823678698618011,0.7528027669673,-0.0708759316507112,-7.08759316507112,"One-at-a-time conditional contrast"
"GENRE_INDIE",0.823678698618011,0.849356757589199,0.0256780589711887,2.56780589711887,"One-at-a-time conditional contrast"
"GENRE_RPG",0.823678698618011,0.825894661596237,0.00221596297822602,0.221596297822602,"One-at-a-time conditional contrast"
"GENRE_SIMULATION",0.823678698618011,0.8886075060386,0.064928807420589,6.4928807420589,"One-at-a-time conditional contrast"
"GENRE_STRATEGY",0.823678698618011,0.801973597165523,-0.0217051014524878,-2.17051014524878,"One-at-a-time conditional contrast"
