"appid","name","is_free","current_price_usd","days_since_release","release_month","platform_segment","has_review","total_reviews","genres","fitted_probability","deviance_residual","standardized_deviance_residual","leverage","cooks_distance","influence_diagnostic_defined"
3465850,"ManHunter",0,199.99,421,"2025-07","Windows only",0,0,"Action; Adventure; Indie; RPG; Strategy",0.942857893082564,-2.39257769360183,-2.39963835967885,0.00587611749123886,0.00700763401815934,TRUE
4249550,"The Frog That Leapt Too Far",1,,258,"2025-12","Windows + Linux",1,1,"Free To Play; Indie; Strategy",0.0698642433656712,2.3070332899447,2.31511012676271,0.00696532549265472,0.00671700905392433,TRUE
3934520,"The Quiet Hum of a Lonely Heart",0,0.49,379,"2025-08","Windows + macOS + Linux",0,0,"Indie; Simulation",0.931279109439718,-2.31417460107532,-2.32208853210419,0.00680460296798904,0.00667723160407871,TRUE
4165690,"House in a Meadow VR",0,179.99,275,"2025-12","Windows only",0,0,"Simulation",0.94643077374373,-2.41941336393558,-2.42572307880364,0.00519557125611007,0.00662526614893819,TRUE
3873440,"Wolvenrise",0,5.99,265,"2025-12","Windows + macOS + Linux",0,0,"Action; Early Access; Indie; RPG; Strategy",0.918844508404403,-2.24115519995983,-2.24982472274148,0.00769199398671599,0.00631745302124953,TRUE
2730970,"Westland Survival",1,,354,"2025-09","Windows + macOS",1,1,"Action; Adventure; RPG; Simulation; Strategy",0.183530023885946,1.84140001464342,1.85919853002269,0.0190547922098053,0.00629245009398721,TRUE
2327050,"Pyrite Tycoon",1,,437,"2025-07","Windows + macOS",1,2,"Adventure; Casual; Free To Play; Indie; Strategy",0.084137869653529,2.22499371693916,2.23366758357043,0.00775139984421441,0.00612138513733567,TRUE
3994850,"SAKA SHAHEEDI Chandni Chowk 1675",0,149.99,314,"2025-11","Windows only",0,0,"Casual; Indie; Simulation",0.930436071607401,-2.30889978830242,-2.31621593150767,0.00630734681874154,0.00610262885433012,TRUE
3454830,"SurfsUp",1,,434,"2025-07","Windows + macOS + Linux",1,13,"Action; Casual; Free To Play; Indie; Racing; Sports",0.114956224455237,2.08000186538287,2.09130790130587,0.010783179799529,0.0060599366877752,TRUE
3476730,"Killer Chat! - Original Edition",1,,289,"2025-11","Windows + macOS + Linux",1,28,"Casual; Free To Play; Indie; RPG; Simulation",0.163477803444926,1.90319628867204,1.91863147277957,0.0160250648720753,0.00604954016558923,TRUE
4019890,"Wuxing Summoner",0,199.99,340,"2025-10","Windows only",0,0,"Strategy",0.90295083615728,-2.15987850822275,-2.16930067514257,0.00866795908044584,0.00586168986602717,TRUE
3572030,"Motamo",1,,435,"2025-07","Windows + macOS + Linux",1,1,"Casual; Free To Play; Indie",0.103483683669166,2.1299489779864,2.13988396347893,0.00926398135946415,0.00584036581960413,TRUE
3726010,"Battlement",0,4.99,391,"2025-08","Windows + macOS + Linux",0,0,"Action; Strategy",0.900759074277732,-2.14951380180992,-2.15902175434091,0.00878825499147541,0.00579908633145781,TRUE
3618780,"Weird Island VR",0,9.99,310,"2025-11","Windows + macOS + Linux",0,0,"Adventure; Casual; RPG",0.899624189504113,-2.14421735468631,-2.15371320626142,0.00879868095349356,0.00573321002008594,TRUE
3381290,"LIBRA: There Are Two",0,8.99,288,"2025-11","Windows + macOS + Linux",0,0,"Adventure; Early Access; Indie; RPG",0.941680995269621,-2.38404163432311,-2.38987181522162,0.0048731228095074,0.0056756565906159,TRUE
3822910,"Red Pearl Pirates",0,3.99,413,"2025-07","Windows + Linux",0,0,"Adventure; Early Access; Indie; Simulation; Strategy",0.910629751266482,-2.19771128240479,-2.20618459977217,0.00766667085504221,0.00566646871206376,TRUE
4045890,"Caveman Caravan",1,,342,"2025-10","Windows + macOS + Linux",1,16,"Free To Play; Indie; Strategy",0.131325747898734,2.01498110022727,2.02683738916451,0.0116650812061258,0.00564233045184129,TRUE
4233260,"Cybersoul",1,,262,"2025-12","Windows only",1,1,"Action; Casual; Free To Play; Indie; RPG; Simulation; Sports; Strategy",0.084588111591487,2.22259377627484,2.23062817402373,0.0071907353068649,0.00563924344088926,TRUE
2767430,"Wisps of the Elements",0,5.99,324,"2025-10","Windows + macOS + Linux",0,0,"RPG; Strategy",0.893799006895985,-2.11774494165662,-2.12753409436602,0.00918117546698748,0.00562202850731757,TRUE
3293180,"Slingshot Pilot",0,2.99,290,"2025-11","Windows + Linux",0,0,"Action; Simulation",0.889000243012623,-2.09677240871541,-2.10690605036129,0.00959631932547564,0.00559669984156212,TRUE
