"term","estimate_log_odds_ordinal","odds_ratio_higher_tier","ci95_lower_ordinal","ci95_upper_ordinal","estimate_log_odds_high100","odds_ratio_high100","ci95_lower_high100","ci95_upper_high100","direction_ordinal","direction_high100","direction_agreement","major_magnitude_contradiction","interpretation_scope"
"is_free",-0.677335913207412,0.507968463422625,0.249431565671374,1.03447997504815,-0.67638151027896,0.50845350143571,0.151617095377339,1.70511750326588,"NEGATIVE","NEGATIVE",TRUE,FALSE,"Coefficient direction comparison"
"tier_price_spline_1",2.43560753282654,11.4227563051711,7.07134059907272,18.4518564449345,3.55885234108307,35.1228649365914,17.3123329548785,71.2564646584164,"POSITIVE","POSITIVE",TRUE,FALSE,"Spline basis; use price probability shape"
"tier_price_spline_2",4.25376939192057,70.3701657878421,18.2560285297255,271.250684394216,5.23750438689137,188.199841863151,18.2643046286013,1939.25699321998,"POSITIVE","POSITIVE",TRUE,FALSE,"Spline basis; use price probability shape"
"tier_price_spline_3",5.58659630062484,266.825877275298,47.0132093588638,1514.38393070073,4.5098146247082,90.9049654140144,14.2939248304688,578.127619596005,"POSITIVE","POSITIVE",TRUE,FALSE,"Spline basis; use price probability shape"
"log_days",1.01387177904984,2.7562519812947,1.59965313214991,4.74910768572734,1.38560905834347,3.99725972795959,1.7883998130703,8.93429154711031,"POSITIVE","POSITIVE",TRUE,FALSE,"Coefficient direction comparison"
"platform_segmentWindows + macOS",0.210119275093341,1.23382521579834,0.914232970992924,1.66513865878897,0.215405836871394,1.24036518075794,0.829645411698502,1.85441365665719,"POSITIVE","POSITIVE",TRUE,FALSE,"Coefficient direction comparison"
"platform_segmentWindows + Linux",-0.17732613607527,0.8375065988624,0.587462950982455,1.19397708734659,-1.08439625394419,0.338105854361764,0.165328056302594,0.691446880283108,"NEGATIVE","NEGATIVE",TRUE,FALSE,"Coefficient direction comparison"
"platform_segmentWindows + macOS + Linux",0.582680294296562,1.79083196053501,1.3169907008342,2.43515698997893,0.578148005638432,1.78273375870833,1.17971784744656,2.69398285472858,"POSITIVE","POSITIVE",TRUE,FALSE,"Coefficient direction comparison"
"genre_action",0.0235896907453629,1.02387012830349,0.858733736089007,1.22076261310822,0.0230399946315866,1.02330746553389,0.791950045828994,1.3222528043688,"POSITIVE","POSITIVE",TRUE,FALSE,"Coefficient direction comparison"
"genre_adventure",0.263876305070111,1.3019671396061,1.09752800983489,1.54448762803702,0.24428313415332,1.27670575832468,0.998136599319503,1.63302056497143,"POSITIVE","POSITIVE",TRUE,FALSE,"Coefficient direction comparison"
"genre_casual",0.0225334067667201,1.02278920167399,0.857833437784778,1.2194648809241,0.124586205164242,1.13267965908775,0.875841132343735,1.46483553093466,"POSITIVE","POSITIVE",TRUE,FALSE,"Coefficient direction comparison"
"genre_indie",0.0717800208300362,1.07441896827306,0.882822286005643,1.30759739268472,-0.0671993620012969,0.935008777533364,0.71037687486334,1.23067268234572,"POSITIVE","NEGATIVE",FALSE,FALSE,"Coefficient direction comparison"
"genre_rpg",0.269677239449312,1.30954171411077,1.06802058673677,1.60568019221041,0.247314741245822,1.28058210136234,0.966380300546386,1.69694117047129,"POSITIVE","POSITIVE",TRUE,FALSE,"Coefficient direction comparison"
"genre_simulation",0.36187410775264,1.43601814702847,1.18526336445324,1.73982270982142,0.368417252779719,1.44544502912181,1.10284589685947,1.89447259872171,"POSITIVE","POSITIVE",TRUE,FALSE,"Coefficient direction comparison"
"genre_strategy",-0.151378309768337,0.859522471397724,0.697304873922792,1.059477577837,-0.0352916934061122,0.965323796600033,0.719810801093023,1.29457633987612,"NEGATIVE","NEGATIVE",TRUE,FALSE,"Coefficient direction comparison"
