"group","tier","n_games","sparse_lt5"
"Free","Tier1",22,FALSE
"Paid","Tier1",1079,FALSE
"Free","Tier2",9,FALSE
"Paid","Tier2",724,FALSE
"Free","Tier3",2,TRUE
"Paid","Tier3",291,FALSE
"Free","Tier4",1,TRUE
"Paid","Tier4",112,FALSE
"Windows only","Tier1",904,FALSE
"Windows + macOS","Tier1",78,FALSE
"Windows + Linux","Tier1",62,FALSE
"Windows + macOS + Linux","Tier1",57,FALSE
"Windows only","Tier2",560,FALSE
"Windows + macOS","Tier2",60,FALSE
"Windows + Linux","Tier2",53,FALSE
"Windows + macOS + Linux","Tier2",60,FALSE
"Windows only","Tier3",223,FALSE
"Windows + macOS","Tier3",29,FALSE
"Windows + Linux","Tier3",6,FALSE
"Windows + macOS + Linux","Tier3",35,FALSE
"Windows only","Tier4",91,FALSE
"Windows + macOS","Tier4",13,FALSE
"Windows + Linux","Tier4",3,TRUE
"Windows + macOS + Linux","Tier4",6,FALSE
