"attention_tier","n_games","indicator","total_genre_n","percent_within_genre"
"Tier1",416,"genre_action",864,48.1481481481481
"Tier2",288,"genre_action",864,33.3333333333333
"Tier3",109,"genre_action",864,12.6157407407407
"Tier4",51,"genre_action",864,5.90277777777778
"Tier1",406,"genre_adventure",928,43.75
"Tier2",327,"genre_adventure",928,35.2370689655172
"Tier3",139,"genre_adventure",928,14.9784482758621
"Tier4",56,"genre_adventure",928,6.03448275862069
"Tier1",521,"genre_casual",977,53.3265097236438
"Tier2",303,"genre_casual",977,31.0133060388946
"Tier3",113,"genre_casual",977,11.5660184237462
"Tier4",40,"genre_casual",977,4.09416581371546
"Tier1",837,"genre_indie",1683,49.7326203208556
"Tier2",566,"genre_indie",1683,33.630421865716
"Tier3",207,"genre_indie",1683,12.2994652406417
"Tier4",73,"genre_indie",1683,4.33749257278669
"Tier1",174,"genre_rpg",434,40.0921658986175
"Tier2",154,"genre_rpg",434,35.4838709677419
"Tier3",73,"genre_rpg",434,16.8202764976959
"Tier4",33,"genre_rpg",434,7.6036866359447
"Tier1",232,"genre_simulation",553,41.9529837251356
"Tier2",190,"genre_simulation",553,34.3580470162749
"Tier3",93,"genre_simulation",553,16.8173598553345
"Tier4",38,"genre_simulation",553,6.87160940325497
"Tier1",235,"genre_strategy",474,49.57805907173
"Tier2",143,"genre_strategy",474,30.168776371308
"Tier3",69,"genre_strategy",474,14.5569620253165
"Tier4",27,"genre_strategy",474,5.69620253164557
