"platform_segment","attention_tier","n_games","percent_within_platform"
"Windows only","Tier1",905,50.8712759977515
"Windows only","Tier2",560,31.4783586284429
"Windows only","Tier3",223,12.5351320966835
"Windows only","Tier4",91,5.11523327712198
"Windows + macOS","Tier1",78,43.3333333333333
"Windows + macOS","Tier2",60,33.3333333333333
"Windows + macOS","Tier3",29,16.1111111111111
"Windows + macOS","Tier4",13,7.22222222222222
"Windows + Linux","Tier1",62,50
"Windows + Linux","Tier2",53,42.741935483871
"Windows + Linux","Tier3",6,4.83870967741935
"Windows + Linux","Tier4",3,2.41935483870968
"Windows + macOS + Linux","Tier1",57,36.0759493670886
"Windows + macOS + Linux","Tier2",60,37.9746835443038
"Windows + macOS + Linux","Tier3",35,22.1518987341772
"Windows + macOS + Linux","Tier4",6,3.79746835443038
