"term","estimate_log_latent_mean","std_error","z_value","p_value","latent_mean_ratio","ci95_lower","ci95_upper","interpretation"
"(Intercept)",-19.6060967273269,865.023135767637,-0.0226654015559111,0.981917174300221,3.05619020621041e-09,0,Inf,"Latent NB mean ratio; positive-count ratio varies after truncation"
"is_free",-0.690579955594559,0.529081313574013,-1.30524351905306,0.191809939715654,0.501285261554576,0.177714076818143,1.41399554807909,"Latent NB mean ratio; positive-count ratio varies after truncation"
"price_spline_1",6.33750400135166,0.409653043982765,15.4704184295486,5.49487187711421e-54,565.383352659598,253.302400823686,1261.96330719782,"Basis term: interpret predictions, not individual coefficient"
"price_spline_2",8.84542014244114,1.04056677839982,8.50057903640132,1.88647310445782e-17,6942.52029476348,903.168608873975,53366.1019322786,"Basis term: interpret predictions, not individual coefficient"
"price_spline_3",5.98712630074391,1.48023613385473,4.0447102754833,5.2387869865186e-05,398.26846009341,21.8863570815907,7247.33521041721,"Basis term: interpret predictions, not individual coefficient"
"platform_segmentWindows + macOS",0.721553902517021,0.257895765130221,2.79785091528231,0.00514438515471914,2.05762808119679,1.24119944055368,3.41108220177811,"Latent NB mean ratio; positive-count ratio varies after truncation"
"platform_segmentWindows + Linux",-0.169308112106667,0.296090635836256,-0.571811775230533,0.567449499000339,0.844248740050508,0.472533914291546,1.50836990429667,"Latent NB mean ratio; positive-count ratio varies after truncation"
"platform_segmentWindows + macOS + Linux",-0.212531694184141,0.243105884211981,-0.874235088439157,0.381990241001888,0.808534690068002,0.502068242527562,1.30207069411978,"Latent NB mean ratio; positive-count ratio varies after truncation"
"genre_action",0.573502823236896,0.154019306444672,3.72357749476631,0.000196419532574898,1.77447183914355,1.31209485064191,2.39978863294298,"Latent NB mean ratio; positive-count ratio varies after truncation"
"genre_adventure",-0.450145203440046,0.14433426666455,-3.11876877087156,0.00181608422270373,0.63753557254225,0.48044603541805,0.845988053378586,"Latent NB mean ratio; positive-count ratio varies after truncation"
"genre_casual",0.492178456105759,0.155732377239006,3.16041188628618,0.00157546249537998,1.63587602522323,1.2055585622957,2.21979292719232,"Latent NB mean ratio; positive-count ratio varies after truncation"
"genre_indie",0.215554615262772,0.162491180824729,1.32656193504606,0.184653634568044,1.24054973402268,0.902191839506316,1.70580532342864,"Latent NB mean ratio; positive-count ratio varies after truncation"
"genre_rpg",0.133996341665575,0.168714169163317,0.794221032709265,0.42706676616098,1.14338863673899,0.821450638870882,1.59149864004102,"Latent NB mean ratio; positive-count ratio varies after truncation"
"genre_simulation",0.473128083901613,0.154414466010535,3.06401398862029,0.00218388698197813,1.60500694536304,1.18586887116487,2.17228679941076,"Latent NB mean ratio; positive-count ratio varies after truncation"
"genre_strategy",-0.504622727678282,0.16232032901935,-3.10880793999701,0.00187843782230516,0.603733304331857,0.439213095483711,0.829879405936293,"Latent NB mean ratio; positive-count ratio varies after truncation"
