"genre","indicator","n_games","median_count","mean_count","p95_count","max_count"
"Action","genre_action",864,10,790.380787037037,1328.54999999999,136842
"Adventure","genre_adventure",928,14,503.370689655172,1421.9,83387
"Casual","genre_casual",977,8,335.82088024565,612.599999999997,99706
"Early Access","genre_early_access",259,10,314.096525096525,861.099999999998,15273
"Free To Play","genre_free_to_play",34,5,93.8529411764706,249.6,2103
"Indie","genre_indie",1683,10,475.005941770648,724.599999999999,136842
"Massively Multiplayer","genre_massively_multiplayer",15,12,1077.8,6167.59999999999,9557
"RPG","genre_rpg",434,17,639.629032258065,1892.95,83387
"Racing","genre_racing",82,5.5,308.975609756098,389.4,11445
"Simulation","genre_simulation",553,16,622.191681735986,1650.8,43483
"Sports","genre_sports",79,11,446.911392405063,1048.8,24603
"Strategy","genre_strategy",474,10,365.097046413502,1147.75,24603
