"column","exact_dependency"
"(Intercept)",FALSE
"scale(log1p_current_price)",FALSE
"release_month2025-08",FALSE
"release_month2025-09",FALSE
"release_month2025-10",FALSE
"release_month2025-11",FALSE
"release_month2025-12",FALSE
"platform_segmentWindows + macOS",FALSE
"platform_segmentWindows + Linux",FALSE
"platform_segmentWindows + macOS + Linux",FALSE
"genre_action",FALSE
"genre_adventure",FALSE
"genre_casual",FALSE
"genre_indie",FALSE
"genre_rpg",FALSE
"genre_simulation",FALSE
"genre_strategy",FALSE
