"genre_a","genre_b","cooccurrence_n"
"Action","Action",319
"Adventure","Action",185
"Casual","Action",82
"Early Access","Action",40
"Free To Play","Action",1
"Game Development","Action",0
"Indie","Action",237
"Massively Multiplayer","Action",5
"RPG","Action",71
"Racing","Action",12
"Simulation","Action",65
"Sports","Action",15
"Strategy","Action",37
"Action","Adventure",185
"Adventure","Adventure",405
"Casual","Adventure",121
"Early Access","Adventure",36
"Free To Play","Adventure",0
"Game Development","Adventure",0
"Indie","Adventure",310
"Massively Multiplayer","Adventure",3
"RPG","Adventure",115
"Racing","Adventure",1
"Simulation","Adventure",104
"Sports","Adventure",5
"Strategy","Adventure",55
"Action","Casual",82
"Adventure","Casual",121
"Casual","Casual",324
"Early Access","Casual",28
"Free To Play","Casual",0
"Game Development","Casual",0
"Indie","Casual",275
"Massively Multiplayer","Casual",2
"RPG","Casual",64
"Racing","Casual",5
"Simulation","Casual",127
"Sports","Casual",13
"Strategy","Casual",64
"Action","Early Access",40
"Adventure","Early Access",36
"Casual","Early Access",28
"Early Access","Early Access",93
"Free To Play","Early Access",0
"Game Development","Early Access",0
"Indie","Early Access",71
"Massively Multiplayer","Early Access",0
"RPG","Early Access",32
"Racing","Early Access",4
"Simulation","Early Access",35
"Sports","Early Access",6
"Strategy","Early Access",34
"Action","Free To Play",1
"Adventure","Free To Play",0
"Casual","Free To Play",0
"Early Access","Free To Play",0
"Free To Play","Free To Play",2
"Game Development","Free To Play",0
"Indie","Free To Play",1
"Massively Multiplayer","Free To Play",0
"RPG","Free To Play",1
"Racing","Free To Play",0
"Simulation","Free To Play",0
"Sports","Free To Play",0
"Strategy","Free To Play",1
"Action","Game Development",0
"Adventure","Game Development",0
"Casual","Game Development",0
"Early Access","Game Development",0
"Free To Play","Game Development",0
"Game Development","Game Development",0
"Indie","Game Development",0
"Massively Multiplayer","Game Development",0
"RPG","Game Development",0
"Racing","Game Development",0
"Simulation","Game Development",0
"Sports","Game Development",0
"Strategy","Game Development",0
"Action","Indie",237
"Adventure","Indie",310
"Casual","Indie",275
"Early Access","Indie",71
"Free To Play","Indie",1
"Game Development","Indie",0
"Indie","Indie",614
"Massively Multiplayer","Indie",4
"RPG","Indie",149
"Racing","Indie",10
"Simulation","Indie",200
"Sports","Indie",16
"Strategy","Indie",126
"Action","Massively Multiplayer",5
"Adventure","Massively Multiplayer",3
"Casual","Massively Multiplayer",2
"Early Access","Massively Multiplayer",0
"Free To Play","Massively Multiplayer",0
"Game Development","Massively Multiplayer",0
"Indie","Massively Multiplayer",4
"Massively Multiplayer","Massively Multiplayer",6
"RPG","Massively Multiplayer",0
"Racing","Massively Multiplayer",1
"Simulation","Massively Multiplayer",5
"Sports","Massively Multiplayer",1
"Strategy","Massively Multiplayer",0
"Action","RPG",71
"Adventure","RPG",115
"Casual","RPG",64
"Early Access","RPG",32
"Free To Play","RPG",1
"Game Development","RPG",0
"Indie","RPG",149
"Massively Multiplayer","RPG",0
"RPG","RPG",207
"Racing","RPG",1
"Simulation","RPG",61
"Sports","RPG",5
"Strategy","RPG",59
"Action","Racing",12
"Adventure","Racing",1
"Casual","Racing",5
"Early Access","Racing",4
"Free To Play","Racing",0
"Game Development","Racing",0
"Indie","Racing",10
"Massively Multiplayer","Racing",1
"RPG","Racing",1
"Racing","Racing",20
"Simulation","Racing",6
"Sports","Racing",9
"Strategy","Racing",1
"Action","Simulation",65
"Adventure","Simulation",104
"Casual","Simulation",127
"Early Access","Simulation",35
"Free To Play","Simulation",0
"Game Development","Simulation",0
"Indie","Simulation",200
"Massively Multiplayer","Simulation",5
"RPG","Simulation",61
"Racing","Simulation",6
"Simulation","Simulation",255
"Sports","Simulation",19
"Strategy","Simulation",69
"Action","Sports",15
"Adventure","Sports",5
"Casual","Sports",13
"Early Access","Sports",6
"Free To Play","Sports",0
"Game Development","Sports",0
"Indie","Sports",16
"Massively Multiplayer","Sports",1
"RPG","Sports",5
"Racing","Sports",9
"Simulation","Sports",19
"Sports","Sports",31
"Strategy","Sports",6
"Action","Strategy",37
"Adventure","Strategy",55
"Casual","Strategy",64
"Early Access","Strategy",34
"Free To Play","Strategy",1
"Game Development","Strategy",0
"Indie","Strategy",126
"Massively Multiplayer","Strategy",0
"RPG","Strategy",59
"Racing","Strategy",1
"Simulation","Strategy",69
"Sports","Strategy",6
"Strategy","Strategy",178
