"genre_a","genre_b","phi_correlation","cooccurrence_n","smaller_genre_n","smaller_genre_coverage"
"Racing","Sports",0.342106966783813,9,20,0.45
"Action","Casual",-0.21041711478816,82,319,0.25705329153605
"Casual","Indie",0.20591543439923,275,324,0.848765432098765
"Action","Strategy",-0.185993165695094,37,178,0.207865168539326
"Adventure","Strategy",-0.182607149496131,55,178,0.308988764044944
"Adventure","Casual",-0.1766741987873,121,324,0.373456790123457
"Action","Simulation",-0.172760881815041,65,255,0.254901960784314
"Casual","Simulation",0.150231896818256,127,255,0.498039215686275
"Action","Adventure",0.15008487254503,185,319,0.579937304075235
"Adventure","Racing",-0.13609733202269,1,20,0.05
"Early Access","Strategy",0.131944681716271,34,93,0.365591397849462
"Simulation","Sports",0.131223471132024,19,31,0.612903225806452
"Adventure","Sports",-0.126893647722409,5,31,0.161290322580645
"Adventure","Simulation",-0.101551998769642,104,255,0.407843137254902
"RPG","Strategy",0.101044234454762,59,178,0.331460674157303
"Massively Multiplayer","Simulation",0.0975602818122394,5,6,0.833333333333333
"Indie","Sports",-0.0970115588573761,16,31,0.516129032258065
"Simulation","Strategy",0.0933280312297883,69,178,0.387640449438202
"Casual","RPG",-0.0922932203820398,64,207,0.309178743961353
"Indie","Racing",-0.0831123030875477,10,20,0.5
"Adventure","RPG",0.0816215759538926,115,207,0.555555555555556
"Massively Multiplayer","Racing",0.0794215344863628,1,6,0.166666666666667
"Early Access","RPG",0.0790811158844761,32,93,0.344086021505376
"Action","Massively Multiplayer",0.0790687041190475,5,6,0.833333333333333
"Indie","Simulation",0.0748022110700256,200,255,0.784313725490196
"RPG","Racing",-0.0716752911882793,1,20,0.05
"Action","Racing",0.0703930979441257,12,20,0.6
"Adventure","Early Access",-0.0689186048728273,36,93,0.387096774193548
"Adventure","Indie",0.0680062251124672,310,405,0.765432098765432
"Casual","Early Access",-0.0628035709525445,28,93,0.301075268817204
"Racing","Strategy",-0.0623051689582402,1,20,0.05
"Massively Multiplayer","Sports",0.0583068927823412,1,6,0.166666666666667
"Early Access","Simulation",0.0548034012605316,35,93,0.376344086021505
"Early Access","Sports",0.0513660520120936,6,31,0.193548387096774
"Massively Multiplayer","RPG",-0.0487749046437065,0,6,0
"Adventure","Free To Play",-0.0474701767796015,0,2,0
"Action","RPG",-0.0455648838669181,71,207,0.342995169082126
"Massively Multiplayer","Strategy",-0.0442215166506212,0,6,0
"Casual","Racing",-0.0442038679848572,5,20,0.25
"Early Access","Racing",0.0441914185382178,4,20,0.2
"Action","Sports",0.0413228557826078,15,31,0.483870967741935
"RPG","Sports",-0.039244310352055,5,31,0.161290322580645
"Casual","Free To Play",-0.038955564059875,0,2,0
"Action","Early Access",0.0353435615493207,40,93,0.43010752688172
"Free To Play","Strategy",0.0343415795096622,1,2,0.5
"Free To Play","Simulation",-0.032442476336668,0,2,0
"Indie","Strategy",-0.0313092498391713,126,178,0.707865168539326
"Early Access","Massively Multiplayer",-0.0300804027238714,0,6,0
"Casual","Strategy",-0.0299017961706911,64,178,0.359550561797753
"Free To Play","RPG",0.0286354447259092,1,2,0.5
"Free To Play","Indie",-0.0259972476370266,1,2,0.5
"Early Access","Indie",0.0232250874408203,71,93,0.763440860215054
"Indie","RPG",-0.0190210918317057,149,207,0.719806763285024
"Early Access","Free To Play",-0.017325231242208,0,2,0
"Action","Indie",0.0151132762126352,237,319,0.74294670846395
"Indie","Massively Multiplayer",-0.0130497914992654,4,6,0.666666666666667
"RPG","Simulation",-0.0128807659426198,61,207,0.294685990338164
"Casual","Sports",0.0128068091909517,13,31,0.419354838709677
"Action","Free To Play",0.0119378619954194,1,2,0.5
"Free To Play","Sports",-0.00960981172881533,0,2,0
"Casual","Massively Multiplayer",-0.00946339018955239,2,6,0.333333333333333
"Sports","Strategy",-0.00928542918219751,6,31,0.193548387096774
"Free To Play","Racing",-0.007666583868008,0,2,0
"Free To Play","Massively Multiplayer",-0.00416359570167756,0,2,0
"Adventure","Massively Multiplayer",0.00264553666343217,3,6,0.5
"Racing","Simulation",-0.0017082878516221,6,20,0.3
"Action","Game Development",,0,0,
"Adventure","Game Development",,0,0,
"Casual","Game Development",,0,0,
"Early Access","Game Development",,0,0,
"Free To Play","Game Development",,0,0,
"Game Development","Indie",,0,0,
"Game Development","Massively Multiplayer",,0,0,
"Game Development","RPG",,0,0,
"Game Development","Racing",,0,0,
"Game Development","Simulation",,0,0,
"Game Development","Sports",,0,0,
"Game Development","Strategy",,0,0,
