"genre_name","market_n","model20_n","model20_paid_n","positive_reviews","negative_reviews","model20_paid_pct","sparse_lt100","sparse_lt50","sparse_lt20"
"Indie",2218,619,614,706914,86279,0.73444976076555,FALSE,FALSE,FALSE
"Adventure",1187,407,405,408366,55760,0.48444976076555,FALSE,FALSE,FALSE
"Casual",1370,326,324,295233,29180,0.38755980861244,FALSE,FALSE,FALSE
"Action",1135,322,319,597544,79655,0.381578947368421,FALSE,FALSE,FALSE
"Simulation",676,259,255,309812,32244,0.305023923444976,FALSE,FALSE,FALSE
"RPG",572,209,207,238048,38200,0.247607655502392,FALSE,FALSE,FALSE
"Strategy",642,181,178,147368,22010,0.212918660287081,FALSE,FALSE,FALSE
"Early Access",341,94,93,66807,13227,0.111244019138756,TRUE,FALSE,FALSE
"Sports",107,33,31,29975,4599,0.0370813397129187,TRUE,TRUE,FALSE
"Racing",108,21,20,22794,2013,0.0239234449760766,TRUE,TRUE,FALSE
"Massively Multiplayer",43,6,6,11230,4878,0.00717703349282297,TRUE,TRUE,TRUE
"Free To Play",396,9,2,299,54,0.00239234449760766,TRUE,TRUE,TRUE
"Game Development",1,0,0,0,0,0,TRUE,TRUE,TRUE
