"sample","field","missing_n","denominator","missing_pct"
"model20_all","positive_reviews",0,844,0
"model20_all","negative_reviews",0,844,0
"model20_all","total_reviews",0,844,0
"model20_all","current_price_usd",8,844,0.947867298578199
"model20_all","list_price_usd",8,844,0.947867298578199
"model20_all","discount_percent",8,844,0.947867298578199
"model20_all","release_date",0,844,0
"model20_all","release_month",0,844,0
"model20_all","days_since_release",0,844,0
"model20_all","platform_segment",0,844,0
"model20_paid","positive_reviews",0,836,0
"model20_paid","negative_reviews",0,836,0
"model20_paid","total_reviews",0,836,0
"model20_paid","current_price_usd",0,836,0
"model20_paid","list_price_usd",0,836,0
"model20_paid","discount_percent",0,836,0
"model20_paid","release_date",0,836,0
"model20_paid","release_month",0,836,0
"model20_paid","days_since_release",0,836,0
"model20_paid","platform_segment",0,836,0
