"segment_type","segment","n_games","positive_reviews","negative_reviews","total_reviews","pooled_positive_rate","median_game_positive_rate"
"price_band","$0.01-$4.99",249,53753,6215,59968,0.896361392742796,0.898648648648649
"price_band","$5.00-$9.99",256,339353,35606,374959,0.905040284404428,0.869208838203849
"price_band","$10.00-$19.99",242,348981,55223,404204,0.863378393088638,0.875
"price_band","$20.00-$29.99",61,102864,16823,119687,0.859441710461454,0.840490797546012
"price_band","$30.00+",28,98343,11863,110206,0.892356133059906,0.748949152542373
"release_month","2025-07",128,136175,13341,149516,0.910772091281201,0.858507734303913
"release_month","2025-08",146,68158,10276,78434,0.868985388989469,0.893378949774299
"release_month","2025-09",143,304601,29718,334319,0.911108851127217,0.878787878787879
"release_month","2025-10",135,310467,46675,357142,0.869309686343247,0.888888888888889
"release_month","2025-11",173,63104,11994,75098,0.840288689445791,0.857142857142857
"release_month","2025-12",111,60789,13726,74515,0.815795477420654,0.876712328767123
"platform_segment","Windows only",643,651773,95744,747517,0.871917294188627,0.855513307984791
"platform_segment","Windows + macOS",78,164178,20932,185110,0.886921290043758,0.898644207066557
"platform_segment","Windows + Linux",40,101993,6361,108354,0.941294276168854,0.937641723356009
"platform_segment","Windows + macOS + Linux",75,25350,2693,28043,0.903968904896053,0.912280701754386
"genre","Action",319,597544,79655,677199,0.882375786142626,0.852941176470588
"genre","Adventure",405,408366,55760,464126,0.879860210373907,0.870967741935484
"genre","Casual",324,295233,29180,324413,0.910052926362384,0.895920703232305
"genre","Early Access",93,66807,13227,80034,0.834732738586101,0.847564169722368
"genre","Free To Play",2,299,54,353,0.847025495750708,0.867479674796748
"genre","Indie",614,706914,86279,793193,0.891225716817975,0.885060936259594
"genre","Massively Multiplayer",6,11230,4878,16108,0.697169108517507,0.675832708165807
"genre","RPG",207,238048,38200,276248,0.861718455880224,0.866279069767442
"genre","Racing",20,22794,2013,24807,0.918853549401379,0.916083916083916
"genre","Simulation",255,309812,32244,342056,0.905734733493931,0.853658536585366
"genre","Sports",31,29975,4599,34574,0.866980968357725,0.901353493476405
"genre","Strategy",178,147368,22010,169378,0.870053962143844,0.850432036287299
