"combination","level_a","level_b","n","empty","sparse_lt5","sparse_lt10"
"platform_x_genre","Windows + Linux","Free To Play",0,TRUE,TRUE,TRUE
"platform_x_genre","Windows + Linux","Game Development",0,TRUE,TRUE,TRUE
"platform_x_genre","Windows + Linux","Massively Multiplayer",0,TRUE,TRUE,TRUE
"platform_x_genre","Windows + Linux","Racing",0,TRUE,TRUE,TRUE
"platform_x_genre","Windows + macOS","Free To Play",0,TRUE,TRUE,TRUE
"platform_x_genre","Windows + macOS","Game Development",0,TRUE,TRUE,TRUE
"platform_x_genre","Windows + macOS","Massively Multiplayer",0,TRUE,TRUE,TRUE
"platform_x_genre","Windows + macOS + Linux","Free To Play",0,TRUE,TRUE,TRUE
"platform_x_genre","Windows + macOS + Linux","Game Development",0,TRUE,TRUE,TRUE
"platform_x_genre","Windows + macOS + Linux","Massively Multiplayer",0,TRUE,TRUE,TRUE
"platform_x_genre","Windows + macOS + Linux","Sports",0,TRUE,TRUE,TRUE
"platform_x_genre","Windows only","Game Development",0,TRUE,TRUE,TRUE
"platform_x_genre","Windows + Linux","Sports",1,FALSE,TRUE,TRUE
"platform_x_genre","Windows + macOS + Linux","Racing",1,FALSE,TRUE,TRUE
"platform_x_genre","Windows + macOS","Racing",2,FALSE,TRUE,TRUE
"platform_x_genre","Windows only","Free To Play",2,FALSE,TRUE,TRUE
"platform_x_genre","Windows + Linux","RPG",4,FALSE,TRUE,TRUE
"platform_x_genre","Windows + Linux","Early Access",5,FALSE,FALSE,TRUE
"platform_x_genre","Windows + macOS","Sports",5,FALSE,FALSE,TRUE
"platform_x_genre","Windows only","Massively Multiplayer",6,FALSE,FALSE,TRUE
"platform_x_genre","Windows + Linux","Simulation",7,FALSE,FALSE,TRUE
"platform_x_genre","Windows + macOS + Linux","Early Access",8,FALSE,FALSE,TRUE
"platform_x_genre","Windows + Linux","Strategy",9,FALSE,FALSE,TRUE
"platform_x_genre","Windows + macOS","Early Access",10,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS","Action",14,FALSE,FALSE,FALSE
"platform_x_genre","Windows + Linux","Casual",16,FALSE,FALSE,FALSE
"platform_x_genre","Windows + Linux","Action",17,FALSE,FALSE,FALSE
"platform_x_genre","Windows only","Racing",17,FALSE,FALSE,FALSE
"platform_x_genre","Windows + Linux","Adventure",20,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS + Linux","Action",20,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS + Linux","RPG",21,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS","RPG",22,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS + Linux","Strategy",23,FALSE,FALSE,FALSE
"platform_x_genre","Windows only","Sports",25,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS","Simulation",26,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS + Linux","Simulation",26,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS","Strategy",29,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS + Linux","Adventure",31,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS + Linux","Casual",33,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS","Adventure",35,FALSE,FALSE,FALSE
"platform_x_genre","Windows + Linux","Indie",37,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS","Casual",38,FALSE,FALSE,FALSE
"platform_x_genre","Windows + macOS + Linux","Indie",61,FALSE,FALSE,FALSE
