"decile","n_games","total_reviews","mean_fitted_probability","pooled_observed_positive_rate","median_game_positive_rate"
1,84,86788,0.803605012761347,0.793047425911416,0.8605216622458
2,84,47983,0.837502618235965,0.85528207906967,0.844753930280246
3,84,55861,0.854074652444457,0.874062404897871,0.875691881918819
4,84,357679,0.866242219795286,0.868586078578837,0.859447823452801
5,84,38167,0.877967944890948,0.833966515576283,0.833368821043666
6,84,41376,0.889604705549112,0.796959590100541,0.86405529953917
7,83,112924,0.899438482095141,0.927526477985194,0.912568306010929
8,83,140082,0.909657134003954,0.925693522365472,0.896551724137931
9,83,37035,0.921858538279519,0.879411367625219,0.852941176470588
10,83,151129,0.939370264560756,0.940521011850803,0.9
