"term","vif_or_gvif","df","adjusted_gvif"
"z_log1p_price",1.79100984818651,1,1.33828616079914
"z_days_since_release",1.26164528919313,1,1.12322984700066
"platform_segment",1.92683538445003,3,1.11551162926399
"genre_action",1.29017911961749,1,1.13586051943779
"genre_adventure",1.56152340794279,1,1.24960930211918
"genre_casual",1.52894334561492,1,1.23650448669421
"genre_indie",1.75532950187866,1,1.32488848658242
"genre_rpg",1.39295841213677,1,1.18023659159372
"genre_simulation",1.46017556641928,1,1.20837724507675
"genre_strategy",1.17044258192405,1,1.0818699468624
