"scenario","predicted_probability","absolute_probability_difference","interpretation"
"Baseline: means, Windows only, genres absent",0.854566615001608,0,"Descriptive model contrast; not a causal effect"
"+1 SD log1p price",0.849303410202094,-0.00526320479951381,"Descriptive model contrast; not a causal effect"
"+1 SD days since release",0.884117636465488,0.02955102146388,"Descriptive model contrast; not a causal effect"
"Platform: Windows + macOS",0.87695126404687,0.0223846490452617,"Descriptive model contrast; not a causal effect"
"Platform: Windows + Linux",0.923107273206224,0.0685406582046155,"Descriptive model contrast; not a causal effect"
"Platform: Windows + macOS + Linux",0.895109654215886,0.0405430392142777,"Descriptive model contrast; not a causal effect"
"Genre present: action",0.857004919362113,0.00243830436050463,"Descriptive model contrast; not a causal effect"
"Genre present: adventure",0.854769434161909,0.000202819160300516,"Descriptive model contrast; not a causal effect"
"Genre present: casual",0.858810246359926,0.00424363135831818,"Descriptive model contrast; not a causal effect"
"Genre present: indie",0.879338035020867,0.0247714200192591,"Descriptive model contrast; not a causal effect"
"Genre present: rpg",0.823545299501879,-0.0310213154997292,"Descriptive model contrast; not a causal effect"
"Genre present: simulation",0.888375750637267,0.0338091356356592,"Descriptive model contrast; not a causal effect"
"Genre present: strategy",0.838436096639692,-0.016130518361916,"Descriptive model contrast; not a causal effect"
