"appid","name","total_reviews","cooks_distance"
1943950,"Escape the Backrooms",136842,376.069239717579
3167020,"Escape From Duckov",83387,22.2285700083885
1657630,"Slime Rancher 2",43483,31.4101546692004
427410,"Abiotic Factor",41961,188.503931878581
3101040,"Magical Girl Witch Trials",29730,13.046115860667
1421250,"Tiny Bunny",27145,12.6277882221676
2352620,"Fellowship",15273,8.09624228323514
2486820,"Sonic Racing: CrossWorlds",11445,13.5303658643186
2958130,"Jurassic World Evolution 3",11304,18.4352009706687
2285150,"The Front",9557,45.3807494896481
