"appid","name","total_reviews","positive_reviews","negative_reviews","positive_rate","fitted_probability","standardized_residual","current_price_usd","days_since_release","platform","genres","hat_value"
3405340,"Megabonk",99706,94028,5678,0.943052574569234,0.943454148500162,-1.73650211996114,9.99,360,"Windows + Linux","Action; Casual; Indie",0.900272247510922
3167020,"Escape From Duckov",83387,71481,11906,0.857219950351973,0.864350550133518,-10.9606989554738,17.99,332,"Windows + macOS","Action; Adventure; Indie; RPG",0.703330133987668
1943950,"Escape the Backrooms",136842,123368,13474,0.901536078104676,0.8679104699717,60.061502858497,9.99,325,"Windows only","Action; Indie",0.594787017746082
427410,"Abiotic Factor",41961,40249,1712,0.959200209718548,0.896543103044959,63.2526015104713,34.99,418,"Windows only","Action; Adventure; RPG; Simulation",0.437135312681816
1421250,"Tiny Bunny",27145,22663,4482,0.834886719469516,0.861498294789234,-15.7863436489018,10.99,282,"Windows + macOS","Adventure; Indie",0.385172683739458
2321470,"Deep Rock Galactic: Survivor",46306,39900,6406,0.861659396190558,0.863121115050549,-1.13357659406443,12.99,361,"Windows only","Action",0.350230328358998
3831120,"Mandate Of Heaven",5390,4908,482,0.910575139146568,0.858975518396974,14.2357844756885,14.99,298,"Windows + macOS + Linux","RPG; Simulation; Strategy",0.341299440427195
3314790,"CloverPit",24603,22176,2427,0.901353493476405,0.900648262628248,0.455464237017969,9.99,352,"Windows only","Action; Adventure; Indie; Simulation; Sports; Strategy",0.339416089810503
1657630,"Slime Rancher 2",43483,41078,2405,0.944691028677874,0.912723016733673,30.7492219696711,17.99,355,"Windows only","Action; Adventure; Casual; Indie; Simulation",0.329287100166365
2780980,"LOCKDOWN Protocol",16566,14256,2310,0.860557768924303,0.839847804961304,8.98824537735057,9.99,299,"Windows only","Action; Casual; Indie; Strategy",0.321646227735986
3101040,"Magical Girl Witch Trials",29730,28728,1002,0.966296670030272,0.943095155405129,22.0703421100405,29.99,422,"Windows + macOS","Adventure; Indie; Simulation",0.288172040011328
2958130,"Jurassic World Evolution 3",11304,10572,732,0.935244161358811,0.850456170591916,31.8114101884292,59.99,327,"Windows only","Simulation; Strategy",0.225174312970886
2352620,"Fellowship",15273,11436,3837,0.748772343351012,0.802833598521588,-18.4864881660437,24.99,332,"Windows only","Early Access; RPG",0.224479033539928
3180070,"No, I'm not a Human",27097,25246,1851,0.931689854965494,0.912385420080965,13.1728724200389,14.99,363,"Windows only","Indie; Simulation",0.21747428676262
1963370,"No One Survived",6960,4518,2442,0.649137931034483,0.7800747691311,-27.4829503802055,16.99,260,"Windows only","Adventure; Indie; RPG",0.177787066569131
2486820,"Sonic Racing: CrossWorlds",11445,10698,747,0.934731323722149,0.846512423724559,31.9712580904796,69.99,353,"Windows only","Action; Adventure; Racing",0.174742725728677
1170570,"The Drifter",4712,4596,116,0.975382003395586,0.937747935041561,13.3216636617326,19.99,423,"Windows + macOS + Linux","Adventure; Indie",0.174734130952081
4035270,"Space Rock Breaker",4621,4448,173,0.962562215970569,0.808891025139692,34.2707720135166,2.99,268,"Windows only","Casual",0.162795520118699
3556750,"Warhammer 40,000: Dawn of War - Definitive Edition",12237,10490,1747,0.857236250715045,0.86400797869087,-2.36711080621288,20.99,395,"Windows only","Strategy",0.159298003355376
1449110,"The Outer Worlds 2",8398,6147,2251,0.731959990473922,0.785758467397311,-12.6756045333125,69.99,319,"Windows only","Action; Adventure; RPG",0.14945194313296
