"term","population","primary_estimate","estimate_log_odds","absolute_estimate_change","estimate_change_pct","primary_or","odds_ratio","or_change_pct","sign_change"
"(Intercept)","full",1.64854789181884,1.64854789181884,0,0,5.19942421628352,5.19942421628352,0,FALSE
"z_log1p_price","full",-0.073041801719825,-0.073041801719825,0,0,0.92956197192452,0.92956197192452,0,FALSE
"z_days_since_release","full",-0.0174600802032998,-0.0174600802032998,0,0,0.982691463725531,0.982691463725531,0,FALSE
"platform_segmentWindows + macOS","full",0.366529394137226,0.366529394137226,0,0,1.44271880740164,1.44271880740164,0,FALSE
"platform_segmentWindows + Linux","full",0.489501892940622,0.489501892940622,0,0,1.63150335418698,1.63150335418698,0,FALSE
"platform_segmentWindows + macOS + Linux","full",0.418186289208533,0.418186289208533,0,0,1.5192036592902,1.5192036592902,0,FALSE
"genre_action","full",-0.124687652573341,-0.124687652573341,0,0,0.882772591274237,0.882772591274237,0,FALSE
"genre_adventure","full",-0.00769169222379799,-0.00769169222379799,0,0,0.992337813143636,0.992337813143636,0,FALSE
"genre_casual","full",0.101220104036677,0.101220104036677,0,0,1.10652016451714,1.10652016451714,0,FALSE
"genre_indie","full",0.135088797569527,0.135088797569527,0,0,1.14463842094847,1.14463842094847,0,FALSE
"genre_rpg","full",-0.0871885170435569,-0.0871885170435569,0,0,0.916504302664909,0.916504302664909,0,FALSE
"genre_simulation","full",-0.240956521086576,-0.240956521086576,0,0,0.785875794671179,0.785875794671179,0,FALSE
"genre_strategy","full",-0.191505968627869,-0.191505968627869,0,0,0.825714696708024,0.825714696708024,0,FALSE
"(Intercept)","minus_top1",1.64854789181884,1.64775647822148,0.000791413597355239,0.0480067094976582,5.19942421628352,5.19531094912281,0.0791100512212761,FALSE
"z_log1p_price","minus_top1",-0.073041801719825,-0.0730899486948786,4.8146975053634e-05,0.0659170145313734,0.92956197192452,0.929517217404853,0.00481458160066506,FALSE
"z_days_since_release","minus_top1",-0.0174600802032998,-0.0173540803617264,0.000105999841573449,0.60709825120629,0.982691463725531,0.982795634385941,0.0106005459755254,FALSE
"platform_segmentWindows + macOS","minus_top1",0.366529394137226,0.366540643164021,1.12490267946685e-05,0.0030690653940996,1.44271880740164,1.44273503667544,0.0011249090065224,FALSE
