"term","binomial_sign","quasi_sign","beta_sign","same_direction_all","beta_or_change_vs_binomial_pct","practical_stability","descriptive_rule"
"(Intercept)","positive","positive","positive",TRUE,11.5142283184909,"Moderately sensitive","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"z_log1p_price","negative","negative","negative",TRUE,3.0828320376292,"Stable","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"z_days_since_release","positive","positive","negative",FALSE,24.3156154202173,"Highly sensitive","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"platform_segmentWindows + macOS","positive","positive","positive",TRUE,18.9502068061124,"Moderately sensitive","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"platform_segmentWindows + Linux","positive","positive","positive",TRUE,20.1448609397508,"Moderately sensitive","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"platform_segmentWindows + macOS + Linux","positive","positive","positive",TRUE,4.60611754264195,"Stable","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"genre_action","positive","positive","negative",FALSE,13.4497289066405,"Highly sensitive","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"genre_adventure","positive","positive","negative",FALSE,0.928121882623323,"Highly sensitive","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"genre_casual","positive","positive","positive",TRUE,6.89246828981123,"Stable","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"genre_indie","positive","positive","positive",TRUE,7.70787106445679,"Stable","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"genre_rpg","negative","negative","negative",TRUE,15.3883749555618,"Moderately sensitive","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"genre_simulation","positive","positive","negative",FALSE,41.9773475362255,"Highly sensitive","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
"genre_strategy","negative","negative","negative",TRUE,6.5054718575257,"Stable","Stable: same sign and beta-vs-binomial OR change <=10%; Moderate: same sign and >10%-25%; High: sign reversal or >25%"
