"review_volume_rank","appid","name","total_reviews","removed_minus_top1","removed_minus_top1pct","removed_minus_top5pct"
1,1943950,"Escape the Backrooms",136842,TRUE,TRUE,TRUE
2,3405340,"Megabonk",99706,FALSE,TRUE,TRUE
3,3167020,"Escape From Duckov",83387,FALSE,TRUE,TRUE
4,2321470,"Deep Rock Galactic: Survivor",46306,FALSE,TRUE,TRUE
5,1657630,"Slime Rancher 2",43483,FALSE,TRUE,TRUE
6,427410,"Abiotic Factor",41961,FALSE,TRUE,TRUE
7,3101040,"Magical Girl Witch Trials",29730,FALSE,TRUE,TRUE
8,1421250,"Tiny Bunny",27145,FALSE,TRUE,TRUE
9,3180070,"No, I'm not a Human",27097,FALSE,TRUE,TRUE
10,3314790,"CloverPit",24603,FALSE,FALSE,TRUE
11,2780980,"LOCKDOWN Protocol",16566,FALSE,FALSE,TRUE
12,2352620,"Fellowship",15273,FALSE,FALSE,TRUE
13,3556750,"Warhammer 40,000: Dawn of War - Definitive Edition",12237,FALSE,FALSE,TRUE
14,2486820,"Sonic Racing: CrossWorlds",11445,FALSE,FALSE,TRUE
15,2958130,"Jurassic World Evolution 3",11304,FALSE,FALSE,TRUE
16,2968420,"PowerWash Simulator 2",10838,FALSE,FALSE,TRUE
17,1757300,"Jump Space",10663,FALSE,FALSE,TRUE
18,3024040,"Stronghold Crusader: Definitive Edition",10580,FALSE,FALSE,TRUE
19,3528450,"Sweet Home",9839,FALSE,FALSE,TRUE
20,2285150,"The Front",9557,FALSE,FALSE,TRUE
21,3293010,"Easy Delivery Co.",9479,FALSE,FALSE,TRUE
22,2747330,"Species: Unknown",9353,FALSE,FALSE,TRUE
23,2060160,"The Farmer Was Replaced",8990,FALSE,FALSE,TRUE
24,1735700,"Back to the Dawn",8544,FALSE,FALSE,TRUE
25,1449110,"The Outer Worlds 2",8398,FALSE,FALSE,TRUE
26,2827200,"MIMESIS",8339,FALSE,FALSE,TRUE
27,3769130,"Keep on Mining!",8273,FALSE,FALSE,TRUE
28,3755860,"BLACK SOULS",7297,FALSE,FALSE,TRUE
29,606160,"ROUTINE",7248,FALSE,FALSE,TRUE
30,1963370,"No One Survived",6960,FALSE,FALSE,TRUE
31,3654560,"Plants vs. Zombies<U+2122>: Replanted",6841,FALSE,FALSE,TRUE
32,3981100,"Leaf it Alone",6170,FALSE,FALSE,TRUE
33,2893820,"Of Ash and Steel",6044,FALSE,FALSE,TRUE
34,1004640,"FINAL FANTASY TACTICS - The Ivalice Chronicles",5650,FALSE,FALSE,TRUE
35,3831120,"Mandate Of Heaven",5390,FALSE,FALSE,TRUE
36,3447040,"Sora no Kiseki the 1st",5170,FALSE,FALSE,TRUE
37,541300,"Survive the Nights",4715,FALSE,FALSE,TRUE
38,1170570,"The Drifter",4712,FALSE,FALSE,TRUE
39,4035270,"Space Rock Breaker",4621,FALSE,FALSE,TRUE
40,3375780,"Trails in the Sky 1st Chapter",4593,FALSE,FALSE,TRUE
41,1620730,"Hell is Us",4254,FALSE,FALSE,TRUE
42,2750780,"<U+6708><U+534E><U+8F89><U+6620><U+4E4B><U+523B>",4205,FALSE,FALSE,TRUE
