"scenario","binomial_probability","quasi_probability","beta_binomial_probability","quasi_minus_binomial","beta_minus_binomial","beta_minus_quasi"
"Baseline: means, Windows only, genres absent",0.854566615001608,0.854566615001608,0.838694697263436,0,-0.0158719177381722,-0.0158719177381722
"+1 SD log1p price",0.849303410202094,0.849303410202094,0.828567128859491,0,-0.0207362813426031,-0.0207362813426031
"+1 SD days since release",0.884117636465488,0.884117636465488,0.83631860357202,0,-0.0477990328934677,-0.0477990328934677
"Platform: Windows + macOS",0.87695126404687,0.87695126404687,0.882371029806506,0,0.0054197657596361,0.0054197657596361
"Platform: Windows + Linux",0.923107273206224,0.923107273206224,0.894546782647248,0,-0.0285604905589758,-0.0285604905589758
"Platform: Windows + macOS + Linux",0.895109654215886,0.895109654215886,0.887627625042929,0,-0.00748202917295682,-0.00748202917295682
"Genre present: action",0.857004919362113,0.857004919362113,0.821106217244163,0,-0.0358987021179493,-0.0358987021179493
"Genre present: adventure",0.854769434161909,0.854769434161909,0.837651406973849,0,-0.0171180271880591,-0.0171180271880591
"Genre present: casual",0.858810246359926,0.858810246359926,0.851923537075848,0,-0.00688670928407853,-0.00688670928407853
"Genre present: indie",0.879338035020867,0.879338035020867,0.856145342742569,0,-0.0231926922782986,-0.0231926922782986
"Genre present: rpg",0.823545299501879,0.823545299501879,0.826548327882346,0,0.00300302838046695,0.00300302838046695
"Genre present: simulation",0.888375750637267,0.888375750637267,0.803385761588577,0,-0.0849899890486903,-0.0849899890486903
"Genre present: strategy",0.838436096639692,0.838436096639692,0.811079827665874,0,-0.0273562689738176,-0.0273562689738176
