"term","binomial_std_error","quasi_std_error","se_inflation_ratio","sqrt_estimated_dispersion","binomial_ci_width","quasi_ci_width","ci_width_inflation_ratio","binomial_ci_crosses_or_1","quasi_ci_crosses_or_1","ci_crossing_status_changed"
"(Intercept)",0.00946131128557637,0.0811226072555198,8.57413996928629,8.57413996928629,0.03708765873251,0.318463120594374,8.58676798369097,FALSE,FALSE,FALSE
"z_log1p_price",0.00490856925892909,0.0420867598749939,8.57413996928629,8.57413996928629,0.0192412379262429,0.16522004579167,8.58676798369236,FALSE,TRUE,TRUE
"z_days_since_release",0.00431276539791595,0.0369782541764261,8.57413996928629,8.57413996928629,0.016905729707371,0.145165578592215,8.58676798369267,FALSE,FALSE,FALSE
"platform_segmentWindows + macOS",0.00960228046045452,0.0823312966922798,8.57413996928629,8.57413996928629,0.037640247743887,0.323208074225457,8.58676798369235,FALSE,FALSE,FALSE
"platform_segmentWindows + Linux",0.0154087046943701,0.132116390794928,8.5741399692863,8.57413996928629,0.0604010124987571,0.51864948030693,8.58676798369237,FALSE,FALSE,FALSE
"platform_segmentWindows + macOS + Linux",0.0210920781754251,0.180846430519223,8.57413996928629,8.57413996928629,0.082679427165873,0.70994905809794,8.58676798369233,FALSE,FALSE,FALSE
"genre_action",0.00713616189551288,0.0611864509356147,8.57413996928628,8.57413996928629,0.0279732406061047,0.240199726836621,8.58676798369232,FALSE,TRUE,TRUE
"genre_adventure",0.007607495909675,0.0652277347453264,8.57413996928629,8.57413996928629,0.0298208359909976,0.256064599734438,8.58676798369232,TRUE,TRUE,FALSE
"genre_casual",0.00876231156197503,0.0751292857868695,8.57413996928629,8.57413996928629,0.0343476301655799,0.294935131021507,8.58676798369234,FALSE,TRUE,TRUE
"genre_indie",0.00869441079836569,0.0745470951356616,8.57413996928629,8.57413996928629,0.034081464063186,0.292649624455124,8.58676798369227,FALSE,FALSE,FALSE
"genre_rpg",0.00781152242412144,0.0669770866376357,8.57413996928629,8.57413996928629,0.03062060523141,0.262932032642354,8.58676798369235,FALSE,FALSE,FALSE
"genre_simulation",0.00827429052453653,0.0709449251039155,8.57413996928629,8.57413996928629,0.032434622851425,0.278508581063754,8.5867679836924,FALSE,FALSE,FALSE
"genre_strategy",0.00865208273337645,0.0741841683818148,8.57413996928629,8.57413996928629,0.033915541097358,0.29122488244439,8.58676798369219,FALSE,TRUE,TRUE
