"term","beta_binomial_estimate_log_odds","beta_binomial_odds_ratio","high85_logistic_estimate_log_odds","high85_logistic_odds_ratio","beta_binomial_direction","high85_logistic_direction","direction_agreement","comparison_scope"
"z_log1p_price",-0.073041801719825,0.92956197192452,-0.148195403122155,0.862262609673306,"NEGATIVE","NEGATIVE",TRUE,"Direction and qualitative consistency only; outcomes differ and OR magnitudes are not directly comparable"
"z_days_since_release",-0.0174600802032998,0.982691463725531,0.00634144334169681,1.00636159286336,"NEGATIVE","POSITIVE",FALSE,"Direction and qualitative consistency only; outcomes differ and OR magnitudes are not directly comparable"
"platform_segmentWindows + macOS",0.366529394137226,1.44271880740164,0.900951099639432,2.46194355160872,"POSITIVE","POSITIVE",TRUE,"Direction and qualitative consistency only; outcomes differ and OR magnitudes are not directly comparable"
"platform_segmentWindows + Linux",0.489501892940622,1.63150335418698,1.11692009872024,3.05542927628261,"POSITIVE","POSITIVE",TRUE,"Direction and qualitative consistency only; outcomes differ and OR magnitudes are not directly comparable"
"platform_segmentWindows + macOS + Linux",0.418186289208533,1.5192036592902,0.966688148505852,2.62922243006003,"POSITIVE","POSITIVE",TRUE,"Direction and qualitative consistency only; outcomes differ and OR magnitudes are not directly comparable"
"genre_action",-0.124687652573341,0.882772591274237,-0.323543529956198,0.72358045981111,"NEGATIVE","NEGATIVE",TRUE,"Direction and qualitative consistency only; outcomes differ and OR magnitudes are not directly comparable"
"genre_adventure",-0.00769169222379799,0.992337813143636,-0.172116296560459,0.841881259580299,"NEGATIVE","NEGATIVE",TRUE,"Direction and qualitative consistency only; outcomes differ and OR magnitudes are not directly comparable"
"genre_casual",0.101220104036677,1.10652016451714,0.241887014803571,1.27365028105921,"POSITIVE","POSITIVE",TRUE,"Direction and qualitative consistency only; outcomes differ and OR magnitudes are not directly comparable"
"genre_indie",0.135088797569527,1.14463842094847,0.225513874852065,1.25296641871949,"POSITIVE","POSITIVE",TRUE,"Direction and qualitative consistency only; outcomes differ and OR magnitudes are not directly comparable"
"genre_rpg",-0.0871885170435569,0.916504302664909,-0.0259981425454989,0.974336899393528,"NEGATIVE","NEGATIVE",TRUE,"Direction and qualitative consistency only; outcomes differ and OR magnitudes are not directly comparable"
"genre_simulation",-0.240956521086576,0.785875794671179,-0.435130501901439,0.647180203319707,"NEGATIVE","NEGATIVE",TRUE,"Direction and qualitative consistency only; outcomes differ and OR magnitudes are not directly comparable"
"genre_strategy",-0.191505968627869,0.825714696708024,-0.498163343490435,0.607645671830738,"NEGATIVE","NEGATIVE",TRUE,"Direction and qualitative consistency only; outcomes differ and OR magnitudes are not directly comparable"
