"decile","n_games","mean_predicted_probability","observed_high_rating_proportion","absolute_gap"
1,84,0.345261236698929,0.345238095238095,2.31414608334868e-05
2,84,0.423415288174572,0.345238095238095,0.078177192936477
3,84,0.46639215542668,0.523809523809524,0.0574173683828436
4,84,0.502341717864379,0.5,0.00234171786437887
5,84,0.533397768508625,0.55952380952381,0.0261260410151847
6,84,0.564074197671807,0.619047619047619,0.0549734213758121
7,83,0.606630714519649,0.578313253012048,0.0283174615076011
8,83,0.666806021501769,0.614457831325301,0.0523481901764683
9,83,0.725057385379853,0.698795180722892,0.0262622046569617
10,83,0.807167100225143,0.855421686746988,0.0482545865218444
