"scenario","reference_probability","modified_probability","absolute_probability_point_change","percentage_point_change","interpretation"
"REFERENCE",0.56257747138212,0.56257747138212,0,0,"Model-based predicted probability contrast; not a causal effect"
"PRICE_PLUS_1SD",0.56257747138212,0.525835429543893,-0.0367420418382273,-3.67420418382273,"Model-based predicted probability contrast; not a causal effect"
"DAYS_PLUS_1SD",0.56257747138212,0.564137375259922,0.00155990387780225,0.155990387780225,"Model-based predicted probability contrast; not a causal effect"
"PLATFORM_WINDOWS_MACOS",0.56257747138212,0.759981910656536,0.197404439274416,19.7404439274416,"Model-based predicted probability contrast; not a causal effect"
"PLATFORM_WINDOWS_LINUX",0.56257747138212,0.797145676112936,0.234568204730816,23.4568204730816,"Model-based predicted probability contrast; not a causal effect"
"PLATFORM_ALL_THREE",0.56257747138212,0.771767305307203,0.209189833925083,20.9189833925082,"Model-based predicted probability contrast; not a causal effect"
"GENRE_ACTION",0.56257747138212,0.482029171475245,-0.0805482999068748,-8.05482999068748,"Model-based predicted probability contrast; not a causal effect"
"GENRE_ADVENTURE",0.56257747138212,0.519867769155702,-0.0427097022264185,-4.27097022264185,"Model-based predicted probability contrast; not a causal effect"
"GENRE_CASUAL",0.56257747138212,0.62093442130626,0.0583569499241396,5.83569499241396,"Model-based predicted probability contrast; not a causal effect"
"GENRE_INDIE",0.56257747138212,0.617073036114307,0.0544955647321874,5.44955647321874,"Model-based predicted probability contrast; not a causal effect"
"GENRE_RPG",0.56257747138212,0.556169679002025,-0.0064077923800947,-0.64077923800947,"Model-based predicted probability contrast; not a causal effect"
"GENRE_SIMULATION",0.56257747138212,0.454252981101458,-0.108324490280662,-10.8324490280662,"Model-based predicted probability contrast; not a causal effect"
"GENRE_STRATEGY",0.56257747138212,0.438676757103568,-0.123900714278552,-12.3900714278552,"Model-based predicted probability contrast; not a causal effect"
