"term","rating_threshold_HIGH80","rating_threshold_HIGH85","rating_threshold_HIGH90","odds_ratio_HIGH80","odds_ratio_HIGH85","odds_ratio_HIGH90","or_ci95_lower_HIGH80","or_ci95_lower_HIGH85","or_ci95_lower_HIGH90","or_ci95_upper_HIGH80","or_ci95_upper_HIGH85","or_ci95_upper_HIGH90","direction_HIGH80","direction_HIGH85","direction_HIGH90","direction_agreement","max_or_drift_from_high85","stability_class","classification_note"
"z_log1p_price",0.8,0.85,0.9,0.944961641222511,0.862262609673306,0.875774242428036,0.80311362086382,0.738777290607925,0.749768245308834,1.11186322854479,1.00638828168204,1.02295679831636,"NEGATIVE","NEGATIVE","NEGATIVE",TRUE,0.0959093327501916,"ROBUST","Descriptive audit only; drift is the maximum absolute relative OR change from the pre-specified HIGH85 model"
"z_days_since_release",0.8,0.85,0.9,0.964181603511814,1.00636159286336,0.953350913603745,0.826494609364948,0.871975496433321,0.826315724398604,1.12480608344793,1.16145884802156,1.09991609457823,"NEGATIVE","POSITIVE","NEGATIVE",FALSE,0.0526755786742452,"SENSITIVE","Descriptive audit only; drift is the maximum absolute relative OR change from the pre-specified HIGH85 model"
"platform_segmentWindows + macOS",0.8,0.85,0.9,4.34836541664571,2.46194355160872,1.70973860937593,2.09483434000338,1.43628377579637,1.03965950695154,9.02614657188116,4.22003377984764,2.81169564924393,"POSITIVE","POSITIVE","POSITIVE",TRUE,0.766232785396046,"SENSITIVE","Descriptive audit only; drift is the maximum absolute relative OR change from the pre-specified HIGH85 model"
"platform_segmentWindows + Linux",0.8,0.85,0.9,3.41619115135613,3.05542927628261,3.11252114283961,1.30569434871347,1.40858976890748,1.54530427931375,8.93805046648396,6.6276557365639,6.26917817695151,"POSITIVE","POSITIVE","POSITIVE",TRUE,0.118072402419487,"PARTIAL","Descriptive audit only; drift is the maximum absolute relative OR change from the pre-specified HIGH85 model"
"platform_segmentWindows + macOS + Linux",0.8,0.85,0.9,2.99219778633965,2.62922243006003,2.44075588772857,1.56097614753135,1.51993169645252,1.47162304487408,5.73567226298447,4.54810607796725,4.04810819199381,"POSITIVE","POSITIVE","POSITIVE",TRUE,0.138054259742237,"PARTIAL","Descriptive audit only; drift is the maximum absolute relative OR change from the pre-specified HIGH85 model"
"genre_action",0.8,0.85,0.9,0.703776038124455,0.72358045981111,0.825851352579714,0.504439195243554,0.52913932475585,0.603030983701669,0.98188387521912,0.989472256786125,1.13100400309639,"NEGATIVE","NEGATIVE","NEGATIVE",TRUE,0.14134004226054,"PARTIAL","Descriptive audit only; drift is the maximum absolute relative OR change from the pre-specified HIGH85 model"
"genre_adventure",0.8,0.85,0.9,0.844202249032997,0.841881259580299,0.961715576590962,0.612633538542795,0.623859529222874,0.712965917878905,1.16330137420739,1.13609558247095,1.29725254330429,"NEGATIVE","NEGATIVE","NEGATIVE",TRUE,0.142341114791417,"PARTIAL","Descriptive audit only; drift is the maximum absolute relative OR change from the pre-specified HIGH85 model"
"genre_casual",0.8,0.85,0.9,1.15126887780636,1.27365028105921,1.34885842832972,0.814416401554087,0.92456616887333,0.981161891240073,1.62744761337851,1.75453644428607,1.85435153558255,"POSITIVE","POSITIVE","POSITIVE",TRUE,0.0960871324513629,"ROBUST","Descriptive audit only; drift is the maximum absolute relative OR change from the pre-specified HIGH85 model"
"genre_indie",0.8,0.85,0.9,1.48518639108628,1.25296641871949,1.04046868670231,1.03931785327499,0.891630796895639,0.736545914534973,2.12233303730642,1.76073420961311,1.46979986806598,"POSITIVE","POSITIVE","POSITIVE",TRUE,0.185336150193167,"PARTIAL","Descriptive audit only; drift is the maximum absolute relative OR change from the pre-specified HIGH85 model"
"genre_rpg",0.8,0.85,0.9,0.7626011906642,0.974336899393528,0.783427390957168,0.536909491530768,0.697892992283895,0.5585538174692,1.08316314979715,1.36028360223685,1.0988349872585,"NEGATIVE","NEGATIVE","NEGATIVE",TRUE,0.217312624474268,"PARTIAL","Descriptive audit only; drift is the maximum absolute relative OR change from the pre-specified HIGH85 model"
"genre_simulation",0.8,0.85,0.9,0.595548554322597,0.647180203319707,0.605069809512503,0.425244231670115,0.470466935183308,0.437462034608954,0.834057358433208,0.89026918630476,0.83689427977621,"NEGATIVE","NEGATIVE","NEGATIVE",TRUE,0.0797794010574886,"ROBUST","Descriptive audit only; drift is the maximum absolute relative OR change from the pre-specified HIGH85 model"
"genre_strategy",0.8,0.85,0.9,0.729249934182053,0.607645671830738,0.537788725323211,0.49253067749431,0.420357916797124,0.36726391373726,1.07974079748702,0.878378276560047,0.787490146096055,"NEGATIVE","NEGATIVE","NEGATIVE",TRUE,0.200123637818304,"PARTIAL","Descriptive audit only; drift is the maximum absolute relative OR change from the pre-specified HIGH85 model"
