"appid","is_free","total_reviews","positive_reviews","negative_reviews","computed_positive_rate","current_price_usd","log1p_current_price","days_since_release","z_log1p_price","z_days_since_release","platform_segment","genre_action","genre_adventure","genre_casual","genre_indie","genre_rpg","genre_simulation","genre_strategy","high_rating_80","high_rating_85","high_rating_90"
427410,0,41961,40249,1712,0.959200209718548,34.99,3.58324112209094,418,1.80442439773998,1.41443211278523,"Windows only",1,1,0,0,1,1,0,1,1,1
541300,0,4715,3225,1490,0.683987274655355,19.99,3.04404613383254,282,1.0582700510032,-1.30654642423939,"Windows only",1,1,0,1,0,1,0,0,0,0
606160,0,7248,6649,599,0.91735651214128,17.49,2.91723004539903,283,0.882778108975961,-1.28653922911421,"Windows only",1,1,0,1,0,0,0,1,1,1
633080,0,1101,726,375,0.659400544959128,19.99,3.04404613383254,395,1.0582700510032,0.954266624906066,"Windows only",1,1,0,1,1,0,0,0,0,0
832360,0,419,246,173,0.587112171837709,19.99,3.04404613383254,355,1.0582700510032,0.153978819898824,"Windows + macOS + Linux",0,0,1,1,0,1,1,0,0,0
887330,0,22,14,8,0.636363636363636,19.99,3.04404613383254,304,1.0582700510032,-0.866388131485408,"Windows only",1,0,0,0,0,0,1,0,0,0
990380,0,1910,1605,305,0.840314136125654,19.99,3.04404613383254,376,1.0582700510032,0.574129917527626,"Windows only",1,1,0,0,0,0,0,1,0,0
1004640,0,5650,5059,591,0.895398230088496,49.99,3.93162953506706,348,2.28653482969061,0.0139284540225572,"Windows only",0,0,0,0,1,0,1,1,1,0
1056170,0,37,26,11,0.702702702702703,9.99,2.39698576841553,276,0.162848330158823,-1.42658959499048,"Windows only",1,0,0,1,0,0,0,0,0,0
1057580,0,36,19,17,0.527777777777778,9.99,2.39698576841553,418,0.162848330158823,1.41443211278523,"Windows only",1,0,1,1,0,1,0,0,0,0
1058710,0,365,293,72,0.802739726027397,11.99,2.56417983068251,398,0.394216534659459,1.01428821028161,"Windows only",0,0,0,1,1,1,1,1,0,0
1141550,0,1682,1568,114,0.932223543400713,4.99,1.79009141212736,301,-0.676990451386808,-0.926409716860951,"Windows only",1,1,1,1,0,1,0,1,1,1
1151990,0,76,72,4,0.947368421052632,9.99,2.39698576841553,381,0.162848330158823,0.674165893153531,"Windows + macOS + Linux",0,1,1,1,0,0,1,1,1,1
1156820,0,36,28,8,0.777777777777778,7.99,2.19611284848353,297,-0.115125697072204,-1.00643849736168,"Windows only",1,0,0,1,1,0,0,0,0,0
1166940,0,43,16,27,0.372093023255814,29.99,3.43366457179966,313,1.59743583961146,-0.686323375358779,"Windows only",1,1,0,1,0,0,0,0,0,0
1170570,0,4712,4596,116,0.975382003395586,19.99,3.04404613383254,423,1.0582700510032,1.51446808841113,"Windows + macOS + Linux",0,1,0,1,0,0,0,1,1,1
1201700,0,477,403,74,0.844863731656184,9.35,2.33698651971138,402,0.0798195535632769,1.09431699078233,"Windows + macOS + Linux",0,0,0,1,0,1,1,1,0,0
1239360,0,218,215,3,0.986238532110092,16.99,2.88981604796244,346,0.844841789473412,-0.0260859362278048,"Windows + macOS + Linux",1,1,0,1,0,0,0,1,1,1
1264970,0,576,546,30,0.947916666666667,10.49,2.44147709186066,277,0.224416770340151,-1.4065823998653,"Windows + macOS",0,0,0,1,0,0,1,1,1,1
1273640,0,206,198,8,0.961165048543689,6.99,2.07819075977818,423,-0.278309853045123,1.51446808841113,"Windows + macOS",0,1,1,1,0,0,0,1,1,1
1275550,0,326,274,52,0.840490797546012,24.99,3.2577118486534,360,1.35394713505243,0.25401479552473,"Windows + macOS",0,1,0,1,0,0,0,1,0,0
1292460,0,66,59,7,0.893939393939394,19.99,3.04404613383254,374,1.0582700510032,0.534115527277264,"Windows + macOS + Linux",1,1,0,1,1,0,0,1,1,0
1295870,0,63,47,16,0.746031746031746,9.99,2.39698576841553,311,0.162848330158823,-0.726337765609141,"Windows + macOS + Linux",0,0,0,0,1,0,1,0,0,0
1296660,0,130,95,35,0.730769230769231,34.99,3.58324112209094,306,1.80442439773998,-0.826373741235046,"Windows only",1,1,0,1,0,0,1,0,0,0
1308940,0,112,111,1,0.991071428571429,19.99,3.04404613383254,409,1.0582700510032,1.2343673566586,"Windows only",0,1,1,1,0,0,0,1,1,1
