"appid","name","total_reviews","positive_reviews","negative_reviews","raw_positive_rate","wilson_lower_95","eb_posterior_mean","raw_rank","wilson_rank","eb_rank","rank_change"
660200,"Transistor Defense",1,1,0,1,0.206549314377237,0.852153574587866,576,1735,1072,-496
1154140,"Pity Please!",1,1,0,1,0.206549314377237,0.852153574587866,577,1736,1073,-496
1858790,"Bony Odyssey",1,1,0,1,0.206549314377237,0.852153574587866,578,1737,1074,-496
1860290,"Moondrills",1,1,0,1,0.206549314377237,0.852153574587866,579,1738,1075,-496
1866640,"Kronos",1,1,0,1,0.206549314377237,0.852153574587866,580,1739,1076,-496
1968440,"Strange Hunting Grounds",1,1,0,1,0.206549314377237,0.852153574587866,581,1740,1077,-496
2055400,"Knights Together",1,1,0,1,0.206549314377237,0.852153574587866,582,1741,1078,-496
2143760,"Her Name",1,1,0,1,0.206549314377237,0.852153574587866,583,1742,1079,-496
2588400,"Robokid",1,1,0,1,0.206549314377237,0.852153574587866,584,1743,1080,-496
2673790,"Endless Asphalt",1,1,0,1,0.206549314377237,0.852153574587866,585,1744,1081,-496
2691340,"The Christopher Redemption - I",1,1,0,1,0.206549314377237,0.852153574587866,586,1745,1082,-496
2751920,"Redacted:Genome",1,1,0,1,0.206549314377237,0.852153574587866,587,1746,1083,-496
2831070,"Dimachaerus",1,1,0,1,0.206549314377237,0.852153574587866,588,1747,1084,-496
2860040,"SIS and BRO: The Cyborg Siblings",1,1,0,1,0.206549314377237,0.852153574587866,589,1748,1085,-496
2881170,"My fair damnation",1,1,0,1,0.206549314377237,0.852153574587866,590,1749,1086,-496
2899300,"UKNON Jones & Guynelk 2",1,1,0,1,0.206549314377237,0.852153574587866,591,1750,1087,-496
3002630,"Dionysus",1,1,0,1,0.206549314377237,0.852153574587866,592,1751,1088,-496
3026650,"Master Bobber",1,1,0,1,0.206549314377237,0.852153574587866,593,1752,1089,-496
3061100,"栖云：遗忘之境 Oriental Dreams : The Forgotten Realm",1,1,0,1,0.206549314377237,0.852153574587866,594,1753,1090,-496
3069360,"RIP Party",1,1,0,1,0.206549314377237,0.852153574587866,595,1754,1091,-496
3121630,"Nightwatch at the Hopkins' Cliffside",1,1,0,1,0.206549314377237,0.852153574587866,596,1755,1092,-496
3121720,"A Snail's Pace",1,1,0,1,0.206549314377237,0.852153574587866,597,1756,1093,-496
3166730,"Forest Time",1,1,0,1,0.206549314377237,0.852153574587866,598,1757,1094,-496
3188460,"Orcs Will Never Be Slaves",1,1,0,1,0.206549314377237,0.852153574587866,599,1758,1095,-496
3198760,"THE BEST INVESTOR",1,1,0,1,0.206549314377237,0.852153574587866,600,1759,1096,-496
3202430,"Tiny Devils",1,1,0,1,0.206549314377237,0.852153574587866,601,1760,1097,-496
3203160,"Talk to Me Human",1,1,0,1,0.206549314377237,0.852153574587866,602,1761,1098,-496
3205360,"City Lights, Old Flames",1,1,0,1,0.206549314377237,0.852153574587866,603,1762,1099,-496
3220170,"Arcane Afterfall",1,1,0,1,0.206549314377237,0.852153574587866,604,1763,1100,-496
3226740,"Beastly Tactics: Rock Paper Scissors",1,1,0,1,0.206549314377237,0.852153574587866,605,1764,1101,-496
