"appid","name","total_reviews","positive_reviews","negative_reviews","raw_positive_rate","wilson_lower_95","eb_posterior_mean","raw_rank","wilson_rank","eb_rank","rank_change"
3265060,"Touhou Dystopian",2147,2097,50,0.976711690731253,0.969429890334172,0.976292042028131,874,14,40,834
1170570,"The Drifter",4712,4596,116,0.975382003395586,0.970555196796511,0.975192208583713,876,12,43,833
2701720,"Wagotabi: A Japanese Journey",1534,1512,22,0.985658409387223,0.978380389990441,0.985036481314878,852,8,20,832
3054820,"DevilConnection",1941,1917,24,0.987635239567233,0.981667197219729,0.987137154919214,847,5,15,832
3309750,"As Long As You're Here",486,485,1,0.997942386831276,0.988438108663722,0.995844426531856,833,1,1,832
3874950,"Bit Buddy",440,437,3,0.993181818181818,0.980148085973531,0.99093225700251,840,6,8,832
2263360,"HYPERBEAT",379,378,1,0.997361477572559,0.985207749177874,0.994689701659545,834,2,3,831
3446680,"Heartbeat in Thailand",1767,1722,45,0.974533106960951,0.966094413035747,0.974030974517127,878,18,47,831
3575980,"Fantasy Maiden Wars - DREAM OF THE STRAY DREAMER -",574,565,9,0.984320557491289,0.970472159822907,0.982683342619825,854,13,23,831
2602230,"MotionRec",425,423,2,0.995294117647059,0.983006256446968,0.992936548669881,835,3,5,830
3447040,"Sora no Kiseki the 1st",5170,5030,140,0.972920696324952,0.96813282969984,0.972750580277263,884,16,55,829
3902830,"How I Flex with AI",298,296,2,0.993288590604027,0.975863710642555,0.98998634846178,839,9,10,829
2319790,"Captain Wayne - Vacation Desperation",1009,983,26,0.974231912784936,0.962511131730367,0.973356613747339,880,24,53,827
3006280,"Sheepherds!",306,301,5,0.983660130718954,0.962326377727614,0.980629731303982,855,26,28,827
2642760,"Back to Hearth",339,333,6,0.982300884955752,0.961929904115469,0.979584191722805,857,27,31,826
3591360,"Bad Bitch Blasters",383,379,4,0.989556135770235,0.973458076243721,0.987033541291841,843,10,17,826
2908050,"Catto's Post Office",1195,1163,32,0.973221757322176,0.962442182347013,0.972487111697716,881,25,56,825
3594000,"性感史莱姆派对（Slime Sexy Party）",229,227,2,0.991266375545852,0.968721106556205,0.987047007069223,841,15,16,825
3470170,"Queens Casino",311,305,6,0.980707395498392,0.958555562599092,0.977781283319467,861,30,37,824
2416100,"Goodnight Universe",1338,1296,42,0.968609865470852,0.957842639624644,0.967974198806788,896,31,73,823
3148060,"Penelope Pendrick and the Art of Deceit",572,556,16,0.972027972027972,0.955047989728991,0.970514105884789,886,35,63,823
3629400,"Loophole",154,153,1,0.993506493506494,0.964138790974546,0.987225217085911,837,22,14,823
3966360,"After School Grounds (<U+BC29><U+ACFC><U+D6C4><U+C6B4><U+B3D9><U+C7A5>)",160,159,1,0.99375,0.965451014037521,0.987686770133698,836,20,13,823
1239360,"Genokids",218,215,3,0.986238532110092,0.960328403358678,0.981948160379185,849,29,27,822
3807550,"Mycopsychosys: Remastered",230,225,5,0.978260869565217,0.950128920158791,0.974393616726165,866,40,46,820
3933710,"My Car My Life",168,165,3,0.982142857142857,0.948820745649202,0.976762844689318,858,43,38,820
3101040,"Magical Girl Witch Trials",29730,28728,1002,0.966296670030272,0.964184313071848,0.966268409919426,901,21,82,819
4168750,"One More 6ix",150,149,1,0.993333333333333,0.963207160225182,0.986897799023714,838,23,19,819
1308940,"Misc. A Tiny Tale",112,111,1,0.991071428571429,0.951151531691115,0.982680838026524,842,37,24,818
2725250,"Nientum - Op.ZERO",158,155,3,0.981012658227848,0.945668826980089,0.975346522986334,860,49,42,818
