"appid","name","is_free","positive_reviews","negative_reviews","total_reviews","raw_positive_rate","wilson_lower_95","wilson_center","wilson_upper_95","wilson_width","eb_posterior_mean","eb_ci95_lower","eb_ci95_upper","data_weight","prior_weight","eb_ci95_width","eb_shrinkage","absolute_shrinkage","eb_shrinkage_pp","raw_rank","wilson_rank","eb_rank","rank_change"
3309750,"As Long As You're Here",0,485,1,486,0.997942386831276,0.988438108663722,0.99403739851384,0.999636688363958,0.0111985797002356,0.995844426531856,0.988549887140285,0.999477609281678,0.98767051956597,0.0123294804340303,0.0109277221413936,-0.00209796029941933,0.00209796029941933,-0.209796029941933,833,1,1,832
3130800,"Find My Frogs",0,208,0,208,1,0.98186635023154,0.99093317511577,1,0.0181336497684599,0.99511918875483,0.982402217629094,0.99985785776943,0.971658725650032,0.0283412743499678,0.017455640140336,-0.00488081124517048,0.00488081124517048,-0.488081124517048,1,4,2,-1
2263360,"HYPERBEAT",0,378,1,379,0.997361477572559,0.985207749177874,0.992370916620827,0.999534084063781,0.0143263348859068,0.994689701659545,0.985379011603421,0.999331922858757,0.984244480337209,0.015755519662791,0.013952911255336,-0.00267177591301482,0.00267177591301482,-0.267177591301482,834,2,3,831
3047510,"Myths are 100% True",0,182,0,182,1,0.979329376528407,0.989664688264204,1,0.020670623471593,0.994444423166549,0.979980688366697,0.999838100977868,0.967740582599881,0.0322594174001193,0.0198574126111706,-0.00555557683345065,0.00555557683345065,-0.555557683345065,2,7,4,-2
2602230,"MotionRec",0,423,2,425,0.995294117647059,0.983006256446968,0.990857391864282,0.998708527281597,0.0157022708346291,0.992936548669881,0.983139043206867,0.998513875787314,0.985925782832842,0.0140742171671584,0.0153748325804471,-0.00235756897717765,0.00235756897717765,-0.235756897717765,835,3,5,830
2500460,"Inventorix",0,129,0,129,1,0.971082380043122,0.985541190021561,1,0.0289176199568782,0.992264425641712,0.972176232024164,0.999774094764738,0.955082050067035,0.0449179499329653,0.0275978627405745,-0.0077355743582882,0.0077355743582882,-0.77355743582882,3,11,6,-3
3894950,"Bakahazard 3",0,110,0,110,1,0.966256064701836,0.983128032350918,1,0.033743935298164,0.99099812254109,0.967656103562517,0.999736790624513,0.947729042179164,0.0522709578208361,0.0320806870619967,-0.00900187745891046,0.00900187745891046,-0.900187745891046,4,17,7,-3
3874950,"Bit Buddy",0,437,3,440,0.993181818181818,0.980148085973531,0.988913317328621,0.997678548683711,0.01753046271018,0.99093225700251,0.980278676243163,0.997494672488725,0.986399059920892,0.0136009400791081,0.0172159962455615,-0.00224956117930863,0.00224956117930863,-0.224956117930863,840,6,8,832
3070390,"Master Lemon: The Quest for Iceland",0,108,0,108,1,0.965652640253443,0.982826320126721,1,0.0343473597465572,0.990840287531556,0.967093388932018,0.999732134507091,0.946812545907842,0.0531874540921581,0.0326387455750731,-0.00915971246844427,0.00915971246844427,-0.915971246844427,5,19,9,-4
3902830,"How I Flex with AI",0,296,2,298,0.993288590604027,0.975863710642555,0.987010633245461,0.998157555848367,0.0222938452058123,0.98998634846178,0.976134604145202,0.997889663466531,0.980047387629867,0.0199526123701327,0.0217550593213288,-0.00330224214224695,0.00330224214224695,-0.330224214224695,839,9,10,829
4113470,"魔王跳 《More Jump》",0,97,0,97,1,0.961905957474052,0.980952978737026,1,0.0380940425259477,0.989862701049034,0.963611475417015,0.999703263918905,0.941136020979865,0.0588639790201352,0.0360917885018891,-0.0101372989509657,0.0101372989509657,-1.01372989509657,6,28,11,-5
2421540,"白猫骑士物语/ White Cat Knight",0,86,0,86,1,0.957241802714258,0.978620901357129,1,0.0427581972857424,0.988651513829381,0.959305630338593,0.999667418192523,0.934103052983953,0.0658969470160469,0.0403617878539296,-0.011348486170619,0.011348486170619,-1.1348486170619,7,33,12,-5
3966360,"After School Grounds (<U+BC29><U+ACFC><U+D6C4><U+C6B4><U+B3D9><U+C7A5>)",0,159,1,160,0.99375,0.965451014037521,0.982173441134069,0.998895868230618,0.033444854193097,0.987686770133698,0.966249940998094,0.99844343327964,0.963466961207618,0.0365330387923822,0.0321934922815462,-0.00606322986630181,0.00606322986630181,-0.606322986630181,836,20,13,823
3629400,"Loophole",0,153,1,154,0.993506493506494,0.964138790974546,0.981495803243526,0.998852815512505,0.0347140245379587,0.987225217085911,0.964995273387445,0.998384573108588,0.962097545093191,0.0379024549068087,0.0333892997211428,-0.00628127642058252,0.00628127642058252,-0.628127642058252,837,22,14,823
3054820,"DevilConnection",0,1917,24,1941,0.987635239567233,0.981667197219729,0.986672060443392,0.991676923667056,0.0100097264473265,0.987137154919214,0.981677940967481,0.991651124254762,0.996884067266345,0.00311593273365452,0.0099731832872807,-0.000498084648019481,0.000498084648019481,-0.0498084648019481,847,5,15,832
3594000,"性感史莱姆派对（Slime Sexy Party）",0,227,2,229,0.991266375545852,0.968721106556205,0.983161377573371,0.997601648590538,0.0288805420343337,0.987047007069223,0.969178201465132,0.997265680219788,0.974190629063292,0.0258093709367081,0.0280874787546552,-0.0042193684766284,0.0042193684766284,-0.42193684766284,841,15,16,825
3591360,"Bad Bitch Blasters",0,379,4,383,0.989556135770235,0.973458076243721,0.984694687512562,0.995931298781403,0.0224732225376814,0.987033541291841,0.973655199184584,0.99573870443895,0.984406462952177,0.0155935370478226,0.0220835052543666,-0.00252259447839365,0.00252259447839365,-0.252259447839365,843,10,17,826
