"top_k","comparison","intersection_n","union_n","jaccard"
10,"RAW_VS_WILSON",2,18,0.111111111111111
10,"RAW_VS_EB",5,15,0.333333333333333
10,"WILSON_VS_EB",7,13,0.538461538461538
25,"RAW_VS_WILSON",5,45,0.111111111111111
25,"RAW_VS_EB",11,39,0.282051282051282
25,"WILSON_VS_EB",18,32,0.5625
50,"RAW_VS_WILSON",8,92,0.0869565217391304
50,"RAW_VS_EB",21,79,0.265822784810127
50,"WILSON_VS_EB",33,67,0.492537313432836
100,"RAW_VS_WILSON",13,187,0.0695187165775401
100,"RAW_VS_EB",46,154,0.298701298701299
100,"WILSON_VS_EB",64,136,0.470588235294118
