"example_group","positive_reviews","total_reviews","negative_reviews","raw_positive_rate","wilson_lower_95","wilson_center","wilson_upper_95","wilson_width"
"raw_100_percent",1,1,0,1,0.206549314377237,0.603274657188619,1,0.793450685622763
"raw_100_percent",2,2,0,1,0.342380227506653,0.671190113753327,1,0.657619772493347
"raw_100_percent",5,5,0,1,0.565517535216825,0.782758767608413,1,0.434482464783175
"raw_100_percent",10,10,0,1,0.722467200137111,0.861233600068555,1,0.277532799862889
"raw_100_percent",20,20,0,1,0.838874841947181,0.91943742097359,1,0.161125158052819
"raw_100_percent",50,50,0,1,0.928652400866641,0.964326200433321,1,0.0713475991333586
"raw_100_percent",100,100,0,1,0.963006501793014,0.981503250896507,1,0.0369934982069857
"raw_100_percent",1000,1000,0,1,0.996173241514445,0.998086620757223,1,0.00382675848555503
"raw_50_percent",1,2,1,0.5,0.0945312057342307,0.5,0.905468794265769,0.810937588531539
"raw_50_percent",2,4,2,0.5,0.15003898915215,0.5,0.84996101084785,0.699922021695701
"raw_50_percent",5,10,5,0.5,0.236593090512564,0.5,0.763406909487436,0.526813818974872
"raw_50_percent",10,20,10,0.5,0.299298008198212,0.5,0.700701991801788,0.401403983603575
"raw_50_percent",50,100,50,0.5,0.403831530365996,0.5,0.596168469634004,0.192336939268009
"raw_50_percent",500,1000,500,0.5,0.469069600368104,0.5,0.530930399631896,0.0618607992637916
