"appid","name","total_reviews","positive_reviews","negative_reviews","positive_rate","current_price_usd","release_date","genre_summary","platform_segment"
1943950,"Escape the Backrooms",136842,123368,13474,0.901536078104676,9.99,2025-10-23,"Action | Indie","Windows only"
3405340,"Megabonk",99706,94028,5678,0.943052574569234,9.99,2025-09-18,"Action | Casual | Indie","Windows + Linux"
3167020,"Escape From Duckov",83387,71481,11906,0.857219950351973,17.99,2025-10-16,"Action | Adventure | Indie | RPG","Windows + macOS"
2321470,"Deep Rock Galactic: Survivor",46306,39900,6406,0.861659396190558,12.99,2025-09-17,"Action","Windows only"
1657630,"Slime Rancher 2",43483,41078,2405,0.944691028677874,17.99,2025-09-23,"Action | Adventure | Casual | Indie | Simulation","Windows only"
427410,"Abiotic Factor",41961,40249,1712,0.959200209718548,34.99,2025-07-22,"Action | Adventure | RPG | Simulation","Windows only"
3101040,"Magical Girl Witch Trials",29730,28728,1002,0.966296670030272,29.99,2025-07-18,"Adventure | Indie | Simulation","Windows + macOS"
1421250,"Tiny Bunny",27145,22663,4482,0.834886719469516,10.99,2025-12-05,"Adventure | Indie","Windows + macOS"
3180070,"No, I'm not a Human",27097,25246,1851,0.931689854965494,14.99,2025-09-15,"Indie | Simulation","Windows only"
3314790,"CloverPit",24603,22176,2427,0.901353493476405,9.99,2025-09-26,"Action | Adventure | Indie | Simulation | Sports | Strategy","Windows only"
2780980,"LOCKDOWN Protocol",16566,14256,2310,0.860557768924303,9.99,2025-11-18,"Action | Casual | Indie | Strategy","Windows only"
2352620,"Fellowship",15273,11436,3837,0.748772343351012,24.99,2025-10-16,"Early Access | RPG","Windows only"
3556750,"Warhammer 40,000: Dawn of War - Definitive Edition",12237,10490,1747,0.857236250715045,20.99,2025-08-14,"Strategy","Windows only"
2486820,"Sonic Racing: CrossWorlds",11445,10698,747,0.934731323722149,69.99,2025-09-25,"Action | Adventure | Racing","Windows only"
2958130,"Jurassic World Evolution 3",11304,10572,732,0.935244161358811,59.99,2025-10-21,"Simulation | Strategy","Windows only"
2968420,"PowerWash Simulator 2",10838,9924,914,0.915667097250415,24.99,2025-10-23,"Casual | Indie | Simulation","Windows only"
1757300,"Jump Space",10663,9095,1568,0.85294945137391,19.99,2025-09-19,"Action | Adventure | Early Access | Indie","Windows only"
3024040,"Stronghold Crusader: Definitive Edition",10580,9813,767,0.927504725897921,19.99,2025-07-15,"Simulation | Strategy","Windows only"
3528450,"Sweet Home",9839,9335,504,0.948775282040858,5.59,2025-08-18,"Casual | Indie | RPG | Simulation","Windows + macOS"
2285150,"The Front",9557,6381,3176,0.667678141676258,19.99,2025-10-30,"Action | Indie | Massively Multiplayer | Simulation","Windows only"
