"variable_x","variable_y","method","correlation"
"current_price_usd","current_price_usd","pearson",1
"current_price_usd","log1p_reviews","pearson",0.220313582952195
"current_price_usd","positive_rate","pearson",-0.0568008694692118
"current_price_usd","total_reviews","pearson",0.0739357936697316
"log1p_reviews","log1p_reviews","pearson",1
"log1p_reviews","positive_rate","pearson",0.0748096811316144
"log1p_reviews","total_reviews","pearson",0.317204024673892
"positive_rate","positive_rate","pearson",1
"positive_rate","total_reviews","pearson",0.0268593103716062
"total_reviews","total_reviews","pearson",1
"current_price_usd","current_price_usd","spearman",1
"current_price_usd","log1p_reviews","spearman",0.342595205958818
"current_price_usd","positive_rate","spearman",-0.140140386926189
"current_price_usd","total_reviews","spearman",0.342595205958818
"log1p_reviews","log1p_reviews","spearman",1
"log1p_reviews","positive_rate","spearman",-0.263482314106948
"log1p_reviews","total_reviews","spearman",1
"positive_rate","positive_rate","spearman",1
"positive_rate","total_reviews","spearman",-0.263482314106948
"total_reviews","total_reviews","spearman",1
