"appid","name","total_reviews","positive_rate","current_price_usd","is_free"
1943950,"Escape the Backrooms",136842,0.901536078104676,9.99,0
3405340,"Megabonk",99706,0.943052574569234,9.99,0
3167020,"Escape From Duckov",83387,0.857219950351973,17.99,0
2321470,"Deep Rock Galactic: Survivor",46306,0.861659396190558,12.99,0
1657630,"Slime Rancher 2",43483,0.944691028677874,17.99,0
427410,"Abiotic Factor",41961,0.959200209718548,34.99,0
3101040,"Magical Girl Witch Trials",29730,0.966296670030272,29.99,0
1421250,"Tiny Bunny",27145,0.834886719469516,10.99,0
3180070,"No, I'm not a Human",27097,0.931689854965494,14.99,0
3314790,"CloverPit",24603,0.901353493476405,9.99,0
2780980,"LOCKDOWN Protocol",16566,0.860557768924303,9.99,0
2352620,"Fellowship",15273,0.748772343351012,24.99,0
3556750,"Warhammer 40,000: Dawn of War - Definitive Edition",12237,0.857236250715045,20.99,0
2486820,"Sonic Racing: CrossWorlds",11445,0.934731323722149,69.99,0
2958130,"Jurassic World Evolution 3",11304,0.935244161358811,59.99,0
2968420,"PowerWash Simulator 2",10838,0.915667097250415,24.99,0
1757300,"Jump Space",10663,0.85294945137391,19.99,0
3024040,"Stronghold Crusader: Definitive Edition",10580,0.927504725897921,19.99,0
3528450,"Sweet Home",9839,0.948775282040858,5.59,0
2285150,"The Front",9557,0.667678141676258,19.99,0
