"outlier_basis","appid","name","total_reviews","positive_rate","current_price_usd"
"highest review volume",1943950,"Escape the Backrooms",136842,0.901536078104676,9.99
"highest review volume",3405340,"Megabonk",99706,0.943052574569234,9.99
"highest review volume",3167020,"Escape From Duckov",83387,0.857219950351973,17.99
"highest review volume",2321470,"Deep Rock Galactic: Survivor",46306,0.861659396190558,12.99
"highest review volume",1657630,"Slime Rancher 2",43483,0.944691028677874,17.99
"highest review volume",427410,"Abiotic Factor",41961,0.959200209718548,34.99
"highest review volume",3101040,"Magical Girl Witch Trials",29730,0.966296670030272,29.99
"highest review volume",1421250,"Tiny Bunny",27145,0.834886719469516,10.99
"highest review volume",3180070,"No, I'm not a Human",27097,0.931689854965494,14.99
"highest review volume",3314790,"CloverPit",24603,0.901353493476405,9.99
"highest current price",3465850,"ManHunter",0,,199.99
"highest current price",3600280,"Processor Dev Tycoon",10,0.3,199.99
"highest current price",3746510,"3D PUZZLE - Mountain Life",10,1,199.99
"highest current price",4019890,"Wuxing Summoner",0,,199.99
"highest current price",4165690,"House in a Meadow VR",0,,179.99
"highest current price",3994850,"SAKA SHAHEEDI Chandni Chowk 1675",0,,149.99
"highest current price",3912150,"Cosmic Rescue",0,,99.99
"highest current price",3912160,"Devil Laugh",0,,99.99
"highest current price",3976540,"Defense X",1,0,99.99
"highest current price",1449110,"The Outer Worlds 2",8398,0.731959990473922,69.99
