genre_name,positive_rate_n,avg_positive_rate,median_positive_rate,reviews_ge_20_games,reviews_ge_20_avg_positive_rate
Casual,977,0.8254,0.9375,326,0.8582
Indie,1683,0.8234,0.9206,619,0.8517
Free To Play,34,0.8634,1.0000,9,0.8498
Racing,82,0.8207,0.9380,21,0.8442
Sports,79,0.8008,0.9143,33,0.8382
Adventure,928,0.8140,0.8991,407,0.8381
Strategy,474,0.8135,0.9000,181,0.8297
RPG,434,0.8089,0.8922,209,0.8271
Action,864,0.8156,0.9091,322,0.8255
Simulation,553,0.7642,0.8500,259,0.8229
Early Access,259,0.7980,0.8889,94,0.8224
Massively Multiplayer,15,0.7800,0.9464,6,0.7027
