genre_name,games,market_membership_pct,free_share_pct,zero_review_share_pct,reviews_ge_20_share_pct,avg_total_reviews,avg_log1p_total_reviews
Indie,2218,73.93,12.35,24.12,27.91,360.43,2.1302
Casual,1370,45.67,13.72,28.69,23.80,239.49,1.9032
Adventure,1187,39.57,12.05,21.82,34.29,393.54,2.4041
Action,1135,37.83,13.39,23.88,28.37,601.66,2.2231
Simulation,676,22.53,9.47,18.20,38.31,508.98,2.6884
Strategy,642,21.40,13.24,26.17,28.19,269.56,2.1534
RPG,572,19.07,13.81,24.13,36.54,485.31,2.4983
Free To Play,396,13.20,99.24,91.41,2.27,8.06,0.2023
Early Access,341,11.37,10.85,24.05,27.57,238.57,2.2767
Racing,108,3.60,11.11,24.07,19.44,234.59,1.8963
Sports,107,3.57,19.63,26.17,30.84,329.96,2.2427
Massively Multiplayer,43,1.43,65.12,65.12,13.95,375.98,1.262
Game Development,1,0.03,0.00,100.00,0.00,0.00,0.0
