genre_name,market_genre_games,market_membership_pct,model_genre_games,model_membership_pct,percentage_point_difference
Adventure,1187,39.57,407,48.22,8.66
Simulation,676,22.53,259,30.69,8.15
RPG,572,19.07,209,24.76,5.70
Sports,107,3.57,33,3.91,0.34
Action,1135,37.83,322,38.15,0.32
Strategy,642,21.40,181,21.45,0.05
Game Development,1,0.03,0,0.00,-0.03
Early Access,341,11.37,94,11.14,-0.23
Indie,2218,73.93,619,73.34,-0.59
Massively Multiplayer,43,1.43,6,0.71,-0.72
Racing,108,3.60,21,2.49,-1.11
Casual,1370,45.67,326,38.63,-7.04
Free To Play,396,13.20,9,1.07,-12.13
