price_band,review_band,games,avg_positive_rate
Free,0,368,
Free,1-9,22,0.8264
Free,10-19,4,0.8818
Free,20-49,5,0.9435
Free,100-499,2,0.7468
Free,1000+,1,0.5521
$0.01-$4.99,0,238,
$0.01-$4.99,1-9,669,0.8007
$0.01-$4.99,10-19,145,0.8180
$0.01-$4.99,20-49,118,0.8582
$0.01-$4.99,50-99,53,0.8473
$0.01-$4.99,100-499,55,0.8634
$0.01-$4.99,500-999,9,0.8208
$0.01-$4.99,1000+,14,0.9098
$5.00-$9.99,0,99,
$5.00-$9.99,1-9,293,0.7884
$5.00-$9.99,10-19,96,0.8772
$5.00-$9.99,20-49,97,0.8401
$5.00-$9.99,50-99,44,0.8525
$5.00-$9.99,100-499,80,0.8462
$5.00-$9.99,500-999,15,0.8100
$5.00-$9.99,1000+,20,0.8855
$10.00-$19.99,0,39,
$10.00-$19.99,1-9,103,0.8092
$10.00-$19.99,10-19,42,0.8408
$10.00-$19.99,20-49,62,0.8202
$10.00-$19.99,50-99,39,0.8474
$10.00-$19.99,100-499,77,0.8407
$10.00-$19.99,500-999,19,0.8621
$10.00-$19.99,1000+,45,0.8421
$20.00-$29.99,0,6,
$20.00-$29.99,1-9,11,0.4697
$20.00-$29.99,10-19,2,1.0000
$20.00-$29.99,20-49,8,0.7214
$20.00-$29.99,50-99,8,0.7733
$20.00-$29.99,100-499,19,0.8296
$20.00-$29.99,500-999,7,0.7800
$20.00-$29.99,1000+,19,0.8196
$30.00+,0,9,
$30.00+,1-9,3,0.3889
$30.00+,10-19,6,0.7064
$30.00+,20-49,3,0.7946
$30.00+,50-99,1,0.7193
$30.00+,100-499,6,0.6720
$30.00+,500-999,4,0.7004
$30.00+,1000+,14,0.8121
Paid price missing,1-9,1,0.5000
