review_score,review_score_desc,games,median_total_reviews,avg_positive_rate,median_positive_rate
0,1 user reviews,317,1.0000,0.8107,1.0000
0,2 user reviews,216,2.0000,0.7708,1.0000
0,3 user reviews,155,3.0000,0.7785,1.0000
0,4 user reviews,101,4.0000,0.7723,1.0000
0,5 user reviews,94,5.0000,0.8191,1.0000
0,6 user reviews,73,6.0000,0.8014,0.8333
0,7 user reviews,59,7.0000,0.8257,1.0000
0,8 user reviews,43,8.0000,0.7936,0.8750
0,9 user reviews,44,9.0000,0.7854,0.8889
0,No user reviews,759,0.0000,,
3,Negative,1,18.0000,0.0556,0.0556
4,Mostly Negative,13,18.0000,0.3161,0.3182
5,Mixed,166,39.0000,0.5996,0.6154
6,Mostly Positive,173,64.0000,0.7510,0.7500
7,Positive,407,19.0000,0.9331,0.9412
8,Very Positive,352,201.5000,0.9050,0.9120
9,Overwhelmingly Positive,27,2147.0000,0.9647,0.9622
