appid,name,release_month,is_free,current_price_usd,total_reviews,positive_rate,review_score_desc,review_volume_percentile
1943950,Escape the Backrooms,2025-10,0,9.99,136842,0.901536078104675500,Very Positive,1.0
3405340,Megabonk,2025-09,0,9.99,99706,0.943052574569233500,Very Positive,0.999667
3167020,Escape From Duckov,2025-10,0,17.99,83387,0.857219950351973300,Very Positive,0.999333
2321470,Deep Rock Galactic: Survivor,2025-09,0,12.99,46306,0.861659396190558400,Very Positive,0.999
1657630,Slime Rancher 2,2025-09,0,17.99,43483,0.944691028677874100,Very Positive,0.998666
427410,Abiotic Factor,2025-07,0,34.99,41961,0.959200209718548100,Overwhelmingly Positive,0.998333
3101040,Magical Girl Witch Trials,2025-07,0,29.99,29730,0.966296670030272400,Overwhelmingly Positive,0.997999
1421250,Tiny Bunny,2025-12,0,10.99,27145,0.834886719469515500,Very Positive,0.997666
3180070,"No, I'm not a Human",2025-09,0,14.99,27097,0.931689854965494400,Very Positive,0.997332
3314790,CloverPit,2025-09,0,9.99,24603,0.901353493476405400,Very Positive,0.996999
2780980,LOCKDOWN Protocol,2025-11,0,9.99,16566,0.860557768924302800,Very Positive,0.996666
2352620,Fellowship,2025-10,0,24.99,15273,0.748772343351011600,Mostly Positive,0.996332
3556750,"Warhammer 40,000: Dawn of War - Definitive Edition",2025-08,0,20.99,12237,0.857236250715044500,Very Positive,0.995999
2486820,Sonic Racing: CrossWorlds,2025-09,0,69.99,11445,0.934731323722149400,Very Positive,0.995665
2958130,Jurassic World Evolution 3,2025-10,0,59.99,11304,0.935244161358811000,Very Positive,0.995332
2968420,PowerWash Simulator 2,2025-10,0,24.99,10838,0.915667097250415200,Very Positive,0.994998
1757300,Jump Space,2025-09,0,19.99,10663,0.852949451373909800,Very Positive,0.994665
3024040,Stronghold Crusader: Definitive Edition,2025-07,0,19.99,10580,0.927504725897920700,Very Positive,0.994331
3528450,Sweet Home,2025-08,0,5.59,9839,0.948775282040857800,Very Positive,0.993998
2285150,The Front,2025-10,0,19.99,9557,0.667678141676258300,Mixed,0.993665
