appid,is_eligible,exclusion_reason,evaluated_at,appdetails_status,app_type,search_release_date,store_release_date_raw,store_release_date,release_date_status
3198820,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-07-18,"Jul 18, 2025",2025-07-18,exact_match
2016460,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-07-29,"Jul 29, 2025",2025-07-29,exact_match
3876700,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-07-31,"Jul 31, 2025",2025-07-31,exact_match
3784130,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-08-01,"Aug 1, 2025",2025-08-01,exact_match
633080,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-08-14,"Aug 14, 2025",2025-08-14,exact_match
267390,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-08-15,"Aug 15, 2025",2025-08-15,exact_match
3686450,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-09-04,"Sep 4, 2025",2025-09-04,exact_match
3354750,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-09-16,"Sep 16, 2025",2025-09-16,exact_match
2963220,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-09-26,"Sep 26, 2025",2025-09-26,exact_match
1935330,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-10-06,"Oct 6, 2025",2025-10-06,exact_match
1961590,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-10-10,"Oct 10, 2025",2025-10-10,exact_match
2483440,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-10-23,"Oct 23, 2025",2025-10-23,exact_match
2978460,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-10-29,"Oct 29, 2025",2025-10-29,exact_match
4111920,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-11-07,"Nov 7, 2025",2025-11-07,exact_match
3997950,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-11-09,"Nov 9, 2025",2025-11-09,exact_match
2122880,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-11-11,"Nov 11, 2025",2025-11-11,exact_match
4047260,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-11-12,"Nov 12, 2025",2025-11-12,exact_match
4203690,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-12-12,"Dec 12, 2025",2025-12-12,exact_match
4083160,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-12-18,"Dec 18, 2025",2025-12-18,exact_match
3535330,True,,2026-09-12T12:26:03.443262+00:00,success,game,2025-12-31,"Dec 31, 2025",2025-12-31,exact_match
