appid,name,release_date,search_release_date,store_release_date,release_date_conflict,developer,publisher,is_free,platform_windows,platform_mac,platform_linux,is_early_access
3198820,Passer,2025-07-18,2025-07-18,2025-07-18,False,"[""SHEN YI""]","[""SHEN YI""]",False,True,False,False,
2016460,Tales of the Shire: A The Lord of The Rings™ Game,2025-07-29,2025-07-29,2025-07-29,False,"[""Wētā Workshop""]","[""Fictions""]",False,True,False,False,
3876700,Quarter Five,2025-07-31,2025-07-31,2025-07-31,False,"[""Nekomata Games LLC""]","[""Nekomata Games LLC""]",False,True,False,False,
3784130,New Lands 4: Legends of Tenkai,2025-08-01,2025-08-01,2025-08-01,False,"[""8floor ltd""]","[""8floor ltd""]",False,True,False,False,
633080,Relic Hunters Legend,2025-08-14,2025-08-14,2025-08-14,False,"[""Rogue Snail""]","[""Rogue Snail""]",False,True,False,False,
267390,Revolution Editions - Shadow & Steel,2025-08-15,2025-08-15,2025-08-15,False,"[""Antstream Ltd""]","[""Revolution Software Ltd""]",False,True,False,False,
3686450,John Parkour,2025-09-04,2025-09-04,2025-09-04,False,"[""HOLYPERSON""]","[""HOLYPERSON""]",False,True,False,False,
3354750,skate.,2025-09-16,2025-09-16,2025-09-16,False,"[""Full Circle""]","[""Electronic Arts""]",True,True,False,False,
2963220,Ruins of Endoth,2025-09-26,2025-09-26,2025-09-26,False,"[""KLG Games Ltd""]","[""N/A""]",False,True,False,False,
1935330,SOPA - Tale of the Stolen Potato,2025-10-06,2025-10-06,2025-10-06,False,"[""StudioBando""]","[""StudioBando""]",False,True,False,False,
1961590,Endure: The Middle Age,2025-10-10,2025-10-10,2025-10-10,False,"[""FeSeGo""]","[""FeSeGo""]",True,True,False,False,
2483440,Shroomtopia,2025-10-23,2025-10-23,2025-10-23,False,"[""GXN Games""]","[""QUByte Interactive""]",False,True,False,True,
2978460,HARD VOID,2025-10-29,2025-10-29,2025-10-29,False,"[""jejoxdev""]","[""jejoxdev""]",False,True,False,True,
4111920,Spirit Magician,2025-11-07,2025-11-07,2025-11-07,False,"[""KindGame""]","[""KindGame""]",False,True,False,False,
3997950,Hooked,2025-11-09,2025-11-09,2025-11-09,False,"[""Mamacabra""]","[""Mamacabra""]",False,True,False,False,
2122880,All Hands on Deck,2025-11-11,2025-11-11,2025-11-11,False,"[""Studio Mantasaur"",""Wikkl""]","[""Studio Mantasaur""]",False,True,False,False,
4047260,Gamma Burst,2025-11-12,2025-11-12,2025-11-12,False,"[""Ulysses Blackjohn""]","[""Ulysses Blackjohn""]",False,True,False,False,
4203690,思い出せ！更生日記女苑ちゃん！！,2025-12-12,2025-12-12,2025-12-12,False,"[""ISY""]","[""ISY""]",False,True,False,False,
4083160,SlayBall Brick Breaker,2025-12-18,2025-12-18,2025-12-18,False,"[""Ziecon Studios""]","[""Ziecon Studios""]",False,True,False,False,
3535330,Terraspace,2025-12-31,2025-12-31,2025-12-31,False,"[""Black Apple""]","[""Black Apple""]",False,True,False,False,
