appid,genre_id,genre_name
267390,25,Adventure
633080,1,Action
633080,25,Adventure
633080,23,Indie
633080,3,RPG
1935330,25,Adventure
1935330,23,Indie
1961590,1,Action
1961590,25,Adventure
1961590,23,Indie
1961590,2,Strategy
1961590,37,Free To Play
2016460,4,Casual
2016460,23,Indie
2016460,3,RPG
2016460,28,Simulation
2122880,25,Adventure
2122880,4,Casual
2122880,23,Indie
2483440,4,Casual
2483440,23,Indie
2963220,1,Action
2963220,25,Adventure
2963220,23,Indie
2963220,3,RPG
2963220,70,Early Access
2978460,23,Indie
2978460,28,Simulation
2978460,2,Strategy
2978460,70,Early Access
3198820,1,Action
3198820,25,Adventure
3198820,4,Casual
3198820,23,Indie
3198820,3,RPG
3354750,1,Action
3354750,18,Sports
3354750,37,Free To Play
3354750,70,Early Access
3535330,25,Adventure
3535330,4,Casual
3686450,1,Action
3686450,23,Indie
3784130,25,Adventure
3784130,4,Casual
3784130,28,Simulation
3784130,2,Strategy
3876700,4,Casual
3876700,23,Indie
3997950,1,Action
3997950,4,Casual
3997950,23,Indie
3997950,70,Early Access
4047260,1,Action
4047260,70,Early Access
4083160,4,Casual
4083160,23,Indie
4111920,1,Action
4111920,25,Adventure
4111920,23,Indie
4203690,4,Casual
