appid,appdetails_status,app_type,store_name,is_free,store_release_date_raw,store_release_date,coming_soon,developers,developers_present,publishers,publishers_present,platform_windows,platform_mac,platform_linux,genres,genres_present,list_price_cents,current_price_cents,discount_percent,price_currency,price_overview_present,metadata_collected_at,schema_error
267390,success,game,Revolution Editions - Shadow & Steel,False,"Aug 15, 2025",2025-08-15,False,"[""Antstream Ltd""]",True,"[""Revolution Software Ltd""]",True,True,False,False,"[{""id"":""25"",""description"":""Adventure""}]",True,1799,1799,0,USD,True,2026-09-12T12:25:22.631012+00:00,
633080,success,game,Relic Hunters Legend,False,"Aug 14, 2025",2025-08-14,False,"[""Rogue Snail""]",True,"[""Rogue Snail""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""25"",""description"":""Adventure""},{""id"":""23"",""description"":""Indie""},{""id"":""3"",""description"":""RPG""}]",True,1999,1999,0,USD,True,2026-09-12T12:25:24.829000+00:00,
1935330,success,game,SOPA - Tale of the Stolen Potato,False,"Oct 6, 2025",2025-10-06,False,"[""StudioBando""]",True,"[""StudioBando""]",True,True,False,False,"[{""id"":""25"",""description"":""Adventure""},{""id"":""23"",""description"":""Indie""}]",True,1999,1999,0,USD,True,2026-09-12T12:25:26.880940+00:00,
1961590,success,game,Endure: The Middle Age,True,"Oct 10, 2025",2025-10-10,False,"[""FeSeGo""]",True,"[""FeSeGo""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""25"",""description"":""Adventure""},{""id"":""23"",""description"":""Indie""},{""id"":""2"",""description"":""Strategy""},{""id"":""37"",""description"":""Free To Play""}]",True,,,,,False,2026-09-12T12:25:28.898236+00:00,
2016460,success,game,Tales of the Shire: A The Lord of The Rings™ Game,False,"Jul 29, 2025",2025-07-29,False,"[""Wētā Workshop""]",True,"[""Fictions""]",True,True,False,False,"[{""id"":""4"",""description"":""Casual""},{""id"":""23"",""description"":""Indie""},{""id"":""3"",""description"":""RPG""},{""id"":""28"",""description"":""Simulation""}]",True,3499,3499,0,USD,True,2026-09-12T12:25:31.052906+00:00,
2122880,success,game,All Hands on Deck,False,"Nov 11, 2025",2025-11-11,False,"[""Studio Mantasaur"",""Wikkl""]",True,"[""Studio Mantasaur""]",True,True,False,False,"[{""id"":""25"",""description"":""Adventure""},{""id"":""4"",""description"":""Casual""},{""id"":""23"",""description"":""Indie""}]",True,1299,1299,0,USD,True,2026-09-12T12:25:33.241308+00:00,
2483440,success,game,Shroomtopia,False,"Oct 23, 2025",2025-10-23,False,"[""GXN Games""]",True,"[""QUByte Interactive""]",True,True,False,True,"[{""id"":""4"",""description"":""Casual""},{""id"":""23"",""description"":""Indie""}]",True,999,999,0,USD,True,2026-09-12T12:25:35.247803+00:00,
2963220,success,game,Ruins of Endoth,False,"Sep 26, 2025",2025-09-26,False,"[""KLG Games Ltd""]",True,"[""N/A""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""25"",""description"":""Adventure""},{""id"":""23"",""description"":""Indie""},{""id"":""3"",""description"":""RPG""},{""id"":""70"",""description"":""Early Access""}]",True,999,999,0,USD,True,2026-09-12T12:25:37.409136+00:00,
2978460,success,game,HARD VOID,False,"Oct 29, 2025",2025-10-29,False,"[""jejoxdev""]",True,"[""jejoxdev""]",True,True,False,True,"[{""id"":""23"",""description"":""Indie""},{""id"":""28"",""description"":""Simulation""},{""id"":""2"",""description"":""Strategy""},{""id"":""70"",""description"":""Early Access""}]",True,1999,1999,0,USD,True,2026-09-12T12:25:39.606636+00:00,
3198820,success,game,Passer,False,"Jul 18, 2025",2025-07-18,False,"[""SHEN YI""]",True,"[""SHEN YI""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""25"",""description"":""Adventure""},{""id"":""4"",""description"":""Casual""},{""id"":""23"",""description"":""Indie""},{""id"":""3"",""description"":""RPG""}]",True,1499,1499,0,USD,True,2026-09-12T12:25:41.703781+00:00,
3354750,success,game,skate.,True,"Sep 16, 2025",2025-09-16,False,"[""Full Circle""]",True,"[""Electronic Arts""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""18"",""description"":""Sports""},{""id"":""37"",""description"":""Free To Play""},{""id"":""70"",""description"":""Early Access""}]",True,,,,,False,2026-09-12T12:25:43.867438+00:00,
3535330,success,game,Terraspace,False,"Dec 31, 2025",2025-12-31,False,"[""Black Apple""]",True,"[""Black Apple""]",True,True,False,False,"[{""id"":""25"",""description"":""Adventure""},{""id"":""4"",""description"":""Casual""}]",True,799,799,0,USD,True,2026-09-12T12:25:46.022550+00:00,
3686450,success,game,John Parkour,False,"Sep 4, 2025",2025-09-04,False,"[""HOLYPERSON""]",True,"[""HOLYPERSON""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""23"",""description"":""Indie""}]",True,299,299,0,USD,True,2026-09-12T12:25:48.097084+00:00,
3784130,success,game,New Lands 4: Legends of Tenkai,False,"Aug 1, 2025",2025-08-01,False,"[""8floor ltd""]",True,"[""8floor ltd""]",True,True,False,False,"[{""id"":""25"",""description"":""Adventure""},{""id"":""4"",""description"":""Casual""},{""id"":""28"",""description"":""Simulation""},{""id"":""2"",""description"":""Strategy""}]",True,1499,1499,0,USD,True,2026-09-12T12:25:50.320279+00:00,
3876700,success,game,Quarter Five,False,"Jul 31, 2025",2025-07-31,False,"[""Nekomata Games LLC""]",True,"[""Nekomata Games LLC""]",True,True,False,False,"[{""id"":""4"",""description"":""Casual""},{""id"":""23"",""description"":""Indie""}]",True,499,499,0,USD,True,2026-09-12T12:25:52.415472+00:00,
3997950,success,game,Hooked,False,"Nov 9, 2025",2025-11-09,False,"[""Mamacabra""]",True,"[""Mamacabra""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""4"",""description"":""Casual""},{""id"":""23"",""description"":""Indie""},{""id"":""70"",""description"":""Early Access""}]",True,999,999,0,USD,True,2026-09-12T12:25:54.597559+00:00,
4047260,success,game,Gamma Burst,False,"Nov 12, 2025",2025-11-12,False,"[""Ulysses Blackjohn""]",True,"[""Ulysses Blackjohn""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""70"",""description"":""Early Access""}]",True,499,499,0,USD,True,2026-09-12T12:25:56.782227+00:00,
4083160,success,game,SlayBall Brick Breaker,False,"Dec 18, 2025",2025-12-18,False,"[""Ziecon Studios""]",True,"[""Ziecon Studios""]",True,True,False,False,"[{""id"":""4"",""description"":""Casual""},{""id"":""23"",""description"":""Indie""}]",True,399,399,0,USD,True,2026-09-12T12:25:58.918326+00:00,
4111920,success,game,Spirit Magician,False,"Nov 7, 2025",2025-11-07,False,"[""KindGame""]",True,"[""KindGame""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""25"",""description"":""Adventure""},{""id"":""23"",""description"":""Indie""}]",True,599,599,0,USD,True,2026-09-12T12:26:00.946777+00:00,
4203690,success,game,思い出せ！更生日記女苑ちゃん！！,False,"Dec 12, 2025",2025-12-12,False,"[""ISY""]",True,"[""ISY""]",True,True,False,False,"[{""id"":""4"",""description"":""Casual""}]",True,699,699,0,USD,True,2026-09-12T12:26:03.052555+00:00,
