appid,name,search_release_date,release_month,search_rank,candidate_collected_at,in_official_game_catalog
3198820,Passer,2025-07-18,2025-07,27222,2026-09-12T11:38:37.743900+00:00,True
2016460,Tales of the Shire: A The Lord of The Rings™ Game,2025-07-29,2025-07,26709,2026-09-12T11:37:54.116686+00:00,True
3876700,Quarter Five,2025-07-31,2025-07,26561,2026-09-12T11:37:50.503145+00:00,True
3784130,New Lands 4: Legends of Tenkai,2025-08-01,2025-08,26432,2026-09-12T11:37:47.241074+00:00,True
633080,Relic Hunters Legend,2025-08-14,2025-08,25790,2026-09-12T11:37:32.279450+00:00,True
267390,Revolution Editions - Shadow & Steel,2025-08-15,2025-08,25710,2026-09-12T11:37:31.100615+00:00,True
3686450,John Parkour,2025-09-04,2025-09,24725,2026-09-12T11:36:36.424587+00:00,True
3354750,skate.,2025-09-16,2025-09,24196,2026-09-12T11:36:23.599600+00:00,True
2963220,Ruins of Endoth,2025-09-26,2025-09,23659,2026-09-12T11:35:40.329942+00:00,True
1935330,SOPA - Tale of the Stolen Potato,2025-10-06,2025-10,23213,2026-09-12T11:35:30.207004+00:00,True
1961590,Endure: The Middle Age,2025-10-10,2025-10,22967,2026-09-12T11:35:24.816237+00:00,True
2483440,Shroomtopia,2025-10-23,2025-10,22332,2026-09-12T11:34:37.715403+00:00,True
2978460,HARD VOID,2025-10-29,2025-10,21874,2026-09-12T11:34:27.423191+00:00,True
4111920,Spirit Magician,2025-11-07,2025-11,21213,2026-09-12T11:34:12.717971+00:00,True
3997950,Hooked,2025-11-09,2025-11,21075,2026-09-12T11:33:37.437252+00:00,True
2122880,All Hands on Deck,2025-11-11,2025-11,20934,2026-09-12T11:33:34.148627+00:00,True
4047260,Gamma Burst,2025-11-12,2025-11,20845,2026-09-12T11:33:31.862469+00:00,True
4203690,思い出せ！更生日記女苑ちゃん！！,2025-12-12,2025-12,18905,2026-09-12T11:32:17.111149+00:00,True
4083160,SlayBall Brick Breaker,2025-12-18,2025-12,18502,2026-09-12T11:32:08.128850+00:00,True
3535330,Terraspace,2025-12-31,2025-12,18064,2026-09-12T11:31:25.592130+00:00,True
