appid,appdetails_status,app_type,store_name,is_free,store_release_date_raw,store_release_date,coming_soon,developers,developers_present,publishers,publishers_present,platform_windows,platform_mac,platform_linux,genres,genres_present,list_price_cents,current_price_cents,discount_percent,price_currency,price_overview_present,metadata_collected_at,schema_error
29720,success,game,Guild Wars® Reforged,False,"Dec 3, 2025",2025-12-03,False,"[""ArenaNet®""]",True,"[""ArenaNet®"",""NCSOFT""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""25"",""description"":""Adventure""},{""id"":""29"",""description"":""Massively Multiplayer""},{""id"":""3"",""description"":""RPG""}]",True,1999,1999,0,USD,True,2026-09-12T12:51:23.760943+00:00,
267390,success,game,Revolution Editions - Shadow & Steel,False,"Aug 15, 2025",2025-08-15,False,"[""Antstream Ltd""]",True,"[""Revolution Software Ltd""]",True,True,False,False,"[{""id"":""25"",""description"":""Adventure""}]",True,1799,1799,0,USD,True,2026-09-12T12:51:25.865935+00:00,
283720,success,game,Antinarkomania,True,"Aug 28, 2025",2025-08-28,False,"[""PIPE Studio""]",True,"[""Strategy First""]",True,True,False,False,"[{""id"":""4"",""description"":""Casual""},{""id"":""37"",""description"":""Free To Play""}]",True,,,,,False,2026-09-12T12:51:27.949105+00:00,
299970,success,game,Project Motor Racing,False,"Nov 25, 2025",2025-11-25,False,"[""Straight4 Studios""]",True,"[""GIANTS Software""]",True,True,False,False,"[{""id"":""9"",""description"":""Racing""},{""id"":""28"",""description"":""Simulation""}]",True,3999,3999,0,USD,True,2026-09-12T12:51:30.048398+00:00,
324470,success,game,SinaRun,False,"Nov 3, 2025",2025-11-03,False,"[""Princesseuh""]",True,"[""Princesseuh""]",True,True,True,True,"[{""id"":""23"",""description"":""Indie""},{""id"":""9"",""description"":""Racing""}]",True,399,399,0,USD,True,2026-09-12T12:51:32.155788+00:00,
347940,success,game,Forsaken Isle,False,"Jul 18, 2025",2025-07-18,False,"[""Smoodlez""]",True,"[""Smoodlez""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""25"",""description"":""Adventure""},{""id"":""4"",""description"":""Casual""},{""id"":""23"",""description"":""Indie""},{""id"":""3"",""description"":""RPG""}]",True,899,899,0,USD,True,2026-09-12T12:51:34.267545+00:00,
427410,success,game,Abiotic Factor,False,"Jul 22, 2025",2025-07-22,False,"[""Deep Field Games""]",True,"[""Playstack""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""25"",""description"":""Adventure""},{""id"":""3"",""description"":""RPG""},{""id"":""28"",""description"":""Simulation""}]",True,3499,3499,0,USD,True,2026-09-12T12:51:36.430126+00:00,
431180,success,game,WolfQuest: Classic,False,"Jul 22, 2025",2025-07-22,False,"[""eduweb""]",True,"[""eduweb""]",True,True,True,False,"[{""id"":""23"",""description"":""Indie""},{""id"":""3"",""description"":""RPG""},{""id"":""28"",""description"":""Simulation""}]",True,2999,2999,0,USD,True,2026-09-12T12:51:38.487048+00:00,
436780,success,game,Tavern Keeper 🍻,False,"Nov 3, 2025",2025-11-03,False,"[""Greenheart Games 💚""]",True,"[""Greenheart Games 💚""]",True,True,False,False,"[{""id"":""23"",""description"":""Indie""},{""id"":""3"",""description"":""RPG""},{""id"":""28"",""description"":""Simulation""},{""id"":""2"",""description"":""Strategy""},{""id"":""70"",""description"":""Early Access""}]",True,2999,2999,0,USD,True,2026-09-12T12:51:40.692551+00:00,
444930,success,game,Zaccaria Pinball,True,"Oct 16, 2025",2025-10-16,False,"[""Magic Pixel Kft.""]",True,"[""Magic Pixel Kft.""]",True,True,True,True,"[{""id"":""1"",""description"":""Action""},{""id"":""4"",""description"":""Casual""},{""id"":""23"",""description"":""Indie""},{""id"":""9"",""description"":""Racing""},{""id"":""28"",""description"":""Simulation""},{""id"":""18"",""description"":""Sports""},{""id"":""37"",""description"":""Free To Play""}]",True,,,,,False,2026-09-12T12:51:42.741808+00:00,
496170,success,game,Desert Race Adventures,False,"Nov 18, 2025",2025-11-18,False,"[""Firedrake Games""]",True,"[""Black Smoke Studios""]",True,True,False,False,"[{""id"":""25"",""description"":""Adventure""},{""id"":""4"",""description"":""Casual""},{""id"":""23"",""description"":""Indie""}]",True,599,599,0,USD,True,2026-09-12T12:51:44.895950+00:00,
497880,success,game,Doodle WHAT?!,False,"Dec 9, 2025",2025-12-09,False,"[""Binx.tv""]",True,"[""Binx.tv""]",True,True,False,False,"[{""id"":""4"",""description"":""Casual""},{""id"":""23"",""description"":""Indie""},{""id"":""2"",""description"":""Strategy""}]",True,999,999,0,USD,True,2026-09-12T12:51:46.984899+00:00,
523630,success,game,Rabidja's Revenge,False,"Oct 23, 2025",2025-10-23,False,"[""Meruvia Game Studio""]",True,"[""Meruvia Game Studio""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""25"",""description"":""Adventure""},{""id"":""23"",""description"":""Indie""}]",True,699,699,0,USD,True,2026-09-12T12:51:48.992672+00:00,
528550,success,game,Drunkn Bar Fight,False,"Jul 17, 2025",2025-07-17,False,"[""The Munky""]",True,"[""The Munky""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""23"",""description"":""Indie""}]",True,1799,1799,0,USD,True,2026-09-12T12:51:51.129507+00:00,
532790,success,game,Vampire: The Masquerade® - Bloodlines™ 2,False,"Oct 21, 2025",2025-10-21,False,"[""The Chinese Room""]",True,"[""Paradox Interactive""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""3"",""description"":""RPG""}]",True,5999,5999,0,USD,True,2026-09-12T12:51:53.236961+00:00,
533610,success,game,Jet Gunner: Refueled,False,"Oct 13, 2025",2025-10-13,False,"[""Sinclair Strange""]",True,"[""Clickteam ""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""25"",""description"":""Adventure""},{""id"":""23"",""description"":""Indie""}]",True,599,599,0,USD,True,2026-09-12T12:51:55.450961+00:00,
541300,success,game,Survive the Nights,False,"Dec 5, 2025",2025-12-05,False,"[""a2z Interactive""]",True,"[""a2z Interactive""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""25"",""description"":""Adventure""},{""id"":""23"",""description"":""Indie""},{""id"":""29"",""description"":""Massively Multiplayer""},{""id"":""28"",""description"":""Simulation""}]",True,1999,1999,0,USD,True,2026-09-12T12:51:57.578262+00:00,
589050,success,game,Lords and Legions,False,"Sep 23, 2025",2025-09-23,False,"[""Warborne Studios""]",True,"[""Warborne Studios""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""3"",""description"":""RPG""},{""id"":""2"",""description"":""Strategy""},{""id"":""70"",""description"":""Early Access""}]",True,1899,1899,0,USD,True,2026-09-12T12:51:59.684025+00:00,
597920,success,game,Survivalizm - The Animal Simulator,False,"Nov 8, 2025",2025-11-08,False,"[""Vishwakarma studios""]",True,"[""Conglomerate 5""]",True,True,False,False,"[{""id"":""1"",""description"":""Action""},{""id"":""25"",""description"":""Adventure""},{""id"":""23"",""description"":""Indie""},{""id"":""29"",""description"":""Massively Multiplayer""},{""id"":""28"",""description"":""Simulation""}]",True,499,69,86,USD,True,2026-09-12T12:52:01.811497+00:00,
