appid,name,release_date_raw,release_date,source,candidate_collected_at,search_page,search_position,search_rank
4414050,Teach Kids Math,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,1,1
5065040,Nova Drop,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,2,2
4905650,Friendly Fire,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,3,3
5046990,The Mansion of Campanillas,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,4,4
4849130,Kıvam,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,5,5
4733000,NEONFALL,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,6,6
4849670,Dark Avos,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,7,7
5077290,Ashfall Keep,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,8,8
4727140,Backrooms: The Entity,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,9,9
5099030,Vegeteamble,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,10,10
4820710,KeyWalker,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,11,11
5173960,groky,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,12,12
5064740,BULBIT,"Sep 12, 2026",2026-09-12,steam_search,2026-09-12T11:17:28.670978+00:00,1,13,13
5074900,Mother;Above,"Sep 11, 2026",2026-09-11,steam_search,2026-09-12T11:17:28.670978+00:00,1,14,14
4587710,AstroDig,"Sep 11, 2026",2026-09-11,steam_search,2026-09-12T11:17:28.670978+00:00,1,15,15
4842470,武道余晖 The Last Glimmer of the Martial Way,"Sep 11, 2026",2026-09-11,steam_search,2026-09-12T11:17:28.670978+00:00,1,16,16
4057950,scale2fit,"Sep 11, 2026",2026-09-11,steam_search,2026-09-12T11:17:28.670978+00:00,1,17,17
3802620,Chud Logic's: Gockbound,"Sep 11, 2026",2026-09-11,steam_search,2026-09-12T11:17:28.670978+00:00,1,18,18
2499540,Selection Kingdom: Level 1 - Limited -,"Sep 11, 2026",2026-09-11,steam_search,2026-09-12T11:17:28.670978+00:00,1,19,19
4989050,DarkTrial of Witchcraft,"Sep 11, 2026",2026-09-11,steam_search,2026-09-12T11:17:28.670978+00:00,1,20,20
4727440,Play the Wor!d,"Sep 11, 2026",2026-09-11,steam_search,2026-09-12T11:17:28.670978+00:00,1,21,21
