appid,is_eligible,exclusion_reason,evaluated_at,appdetails_status,app_type,search_release_date,store_release_date_raw,store_release_date,release_date_status
29720,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-03,"Dec 3, 2025",2025-12-03,exact_match
267390,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-15,"Aug 15, 2025",2025-08-15,exact_match
283720,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-08-28,"Aug 28, 2025",2025-08-28,exact_match
299970,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-25,"Nov 25, 2025",2025-11-25,exact_match
324470,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-03,"Nov 3, 2025",2025-11-03,exact_match
347940,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-18,"Jul 18, 2025",2025-07-18,exact_match
427410,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-22,"Jul 22, 2025",2025-07-22,exact_match
431180,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-22,"Jul 22, 2025",2025-07-22,exact_match
436780,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-03,"Nov 3, 2025",2025-11-03,exact_match
444930,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-16,"Oct 16, 2025",2025-10-16,exact_match
496170,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-18,"Nov 18, 2025",2025-11-18,exact_match
497880,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-09,"Dec 9, 2025",2025-12-09,exact_match
523630,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-23,"Oct 23, 2025",2025-10-23,exact_match
528550,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-07-17,"Jul 17, 2025",2025-07-17,exact_match
532790,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-21,"Oct 21, 2025",2025-10-21,exact_match
533610,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-10-13,"Oct 13, 2025",2025-10-13,exact_match
541300,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-05,"Dec 5, 2025",2025-12-05,exact_match
589050,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-09-23,"Sep 23, 2025",2025-09-23,exact_match
597920,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-11-08,"Nov 8, 2025",2025-11-08,exact_match
606160,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-04,"Dec 4, 2025",2025-12-04,exact_match
607760,True,,2026-09-13T07:32:04.050579+00:00,success,game,2025-12-12,"Dec 12, 2025",2025-12-12,exact_match
