appid,name,release_date,search_release_date,store_release_date,release_date_conflict,developer,publisher,is_free,platform_windows,platform_mac,platform_linux,is_early_access
29720,Guild Wars® Reforged,2025-12-03,2025-12-03,2025-12-03,False,"[""ArenaNet®""]","[""ArenaNet®"",""NCSOFT""]",False,True,False,False,
267390,Revolution Editions - Shadow & Steel,2025-08-15,2025-08-15,2025-08-15,False,"[""Antstream Ltd""]","[""Revolution Software Ltd""]",False,True,False,False,
283720,Antinarkomania,2025-08-28,2025-08-28,2025-08-28,False,"[""PIPE Studio""]","[""Strategy First""]",True,True,False,False,
299970,Project Motor Racing,2025-11-25,2025-11-25,2025-11-25,False,"[""Straight4 Studios""]","[""GIANTS Software""]",False,True,False,False,
324470,SinaRun,2025-11-03,2025-11-03,2025-11-03,False,"[""Princesseuh""]","[""Princesseuh""]",False,True,True,True,
347940,Forsaken Isle,2025-07-18,2025-07-18,2025-07-18,False,"[""Smoodlez""]","[""Smoodlez""]",False,True,False,False,
427410,Abiotic Factor,2025-07-22,2025-07-22,2025-07-22,False,"[""Deep Field Games""]","[""Playstack""]",False,True,False,False,
431180,WolfQuest: Classic,2025-07-22,2025-07-22,2025-07-22,False,"[""eduweb""]","[""eduweb""]",False,True,True,False,
436780,Tavern Keeper 🍻,2025-11-03,2025-11-03,2025-11-03,False,"[""Greenheart Games 💚""]","[""Greenheart Games 💚""]",False,True,False,False,
444930,Zaccaria Pinball,2025-10-16,2025-10-16,2025-10-16,False,"[""Magic Pixel Kft.""]","[""Magic Pixel Kft.""]",True,True,True,True,
496170,Desert Race Adventures,2025-11-18,2025-11-18,2025-11-18,False,"[""Firedrake Games""]","[""Black Smoke Studios""]",False,True,False,False,
497880,Doodle WHAT?!,2025-12-09,2025-12-09,2025-12-09,False,"[""Binx.tv""]","[""Binx.tv""]",False,True,False,False,
523630,Rabidja's Revenge,2025-10-23,2025-10-23,2025-10-23,False,"[""Meruvia Game Studio""]","[""Meruvia Game Studio""]",False,True,False,False,
528550,Drunkn Bar Fight,2025-07-17,2025-07-17,2025-07-17,False,"[""The Munky""]","[""The Munky""]",False,True,False,False,
532790,Vampire: The Masquerade® - Bloodlines™ 2,2025-10-21,2025-10-21,2025-10-21,False,"[""The Chinese Room""]","[""Paradox Interactive""]",False,True,False,False,
533610,Jet Gunner: Refueled,2025-10-13,2025-10-13,2025-10-13,False,"[""Sinclair Strange""]","[""Clickteam ""]",False,True,False,False,
541300,Survive the Nights,2025-12-05,2025-12-05,2025-12-05,False,"[""a2z Interactive""]","[""a2z Interactive""]",False,True,False,False,
589050,Lords and Legions,2025-09-23,2025-09-23,2025-09-23,False,"[""Warborne Studios""]","[""Warborne Studios""]",False,True,False,False,
597920,Survivalizm - The Animal Simulator,2025-11-08,2025-11-08,2025-11-08,False,"[""Vishwakarma studios""]","[""Conglomerate 5""]",False,True,False,False,
606160,ROUTINE,2025-12-04,2025-12-04,2025-12-04,False,"[""Lunar Software""]","[""Raw Fury""]",False,True,False,False,
607760,CYBERDRIFTER,2025-12-12,2025-12-12,2025-12-12,False,"[""Scott Wilson""]","[""UziGames""]",False,True,False,False,
628360,Sir Noggin,2025-11-05,2025-11-05,2025-11-05,False,"[""Sinclair Strange""]","[""Scarlet Moon Games""]",False,True,False,False,
633080,Relic Hunters Legend,2025-08-14,2025-08-14,2025-08-14,False,"[""Rogue Snail""]","[""Rogue Snail""]",False,True,False,False,
635700,ZIX,2025-09-18,2025-09-18,2025-09-18,False,"[""Hidden IO""]","[""Hidden IO""]",False,True,False,False,
650820,Psychic Isolation Episode 1,2025-08-11,2025-08-11,2025-08-11,False,"[""thiefbug"",""Nocthulus""]","[""thiefbug""]",False,True,False,False,
652140,Echo Nine,2025-08-08,2025-08-08,2025-08-08,False,"[""EchoNineGames""]","[""Devil Dog Games""]",False,True,False,False,
659300,Super Farming Boy,2025-08-12,2025-08-12,2025-08-12,False,"[""LemonChili Soft""]","[""Renxo Europe Limited""]",False,True,False,False,
660200,Transistor Defense,2025-07-04,2025-07-04,2025-07-04,False,"[""Realm Games LLC"",""Valiant Pixel Studios LLC""]","[""Realm Games LLC""]",False,True,True,False,
660560,Fishing on the Fly,2025-07-27,2025-07-27,2025-07-27,False,"[""Numicus Studios"",""MacClark.com""]","[""Numicus""]",False,True,False,False,
662000,Startron,2025-09-21,2025-09-21,2025-09-21,False,"[""Rogo Darius""]","[""Rogo Digital""]",True,True,False,True,
668600,Pixelum,2025-09-04,2025-09-04,2025-09-04,False,"[""ZXC Games""]","[""ZXC Games""]",True,True,False,False,
690320,Snake-A-Roid,2025-11-18,2025-11-18,2025-11-18,False,"[""Arcade Badgers Limited""]","[""Arcade Badgers Limited""]",False,True,False,True,
694110,Build a Bridge!,2025-09-18,2025-09-18,2025-09-18,False,"[""BoomBit""]","[""BoomBit""]",False,True,True,False,
716350,Reign of Guilds,2025-11-26,2025-11-26,2025-11-26,False,"[""Atlant Games ltd""]","[""Atlant Games ltd""]",True,True,False,False,
717540,De Mambo,2025-11-25,2025-11-25,2025-11-25,False,"[""The Dangerous Kitchen""]","[""The Dangerous Kitchen"",""Chorus Worldwide""]",False,True,True,True,
721780,Roguevive,2025-08-28,2025-08-28,2025-08-28,False,"[""Chiorco""]","[""Chiorco""]",False,True,False,False,
757940,Raygun Gadabout,2025-08-19,2025-08-19,2025-08-19,False,"[""Quantum Duck Studio Ltd.""]","[""Quantum Duck Studio Ltd.""]",False,True,False,False,
766500,The Hordes of the Dead,2025-10-30,2025-10-30,2025-10-30,False,"[""Sergio Castillo"",""SergesChateau""]","[""Sergio Castillo"",""SergesChateau""]",False,True,True,False,
774181,Rhythm Doctor,2025-12-06,2025-12-06,2025-12-06,False,"[""7th Beat Games""]","[""7th Beat Games"",""indienova""]",False,True,True,True,
789940,UNYIELDER,2025-09-29,2025-09-29,2025-09-29,False,"[""TrueWorld Studios""]","[""SHUEISHA GAMES""]",False,True,False,False,
802160,Mimic Man,2025-12-19,2025-12-19,2025-12-19,False,"[""Silent Krill, LLC""]","[""Silent Krill, LLC""]",False,True,False,False,
821250,Flotsam,2025-12-04,2025-12-04,2025-12-04,False,"[""Pajama Llama Games""]","[""Stray Fawn Publishing""]",False,True,False,False,
832360,Hotel Magnate,2025-09-23,2025-09-23,2025-09-23,False,"[""Arcade Oven""]","[""Arcade Oven""]",False,True,True,True,
862540,Paper Roll 2,2025-10-21,2025-10-21,2025-10-21,False,"[""Drew VanWagner""]","[""Veedub Inc.""]",False,True,False,False,
863970,Survive the Rift,2025-11-17,2025-11-17,2025-11-17,False,"[""Monster Helix Inc.""]","[""Monster Helix Inc.""]",False,True,False,False,
866400,On The Western Front,2025-08-07,2025-08-07,2025-08-07,False,"[""Aggroblakh""]","[""Aggroblakh""]",False,True,True,False,
878000,Brainrot Royale,2025-07-01,2025-07-01,2025-07-01,False,"[""Truthkey"",""ligero_miguel""]","[""Truthkey""]",False,True,False,False,
878900,GMH - Good Morning Human !,2025-07-22,2025-07-22,2025-07-22,False,"[""W-9000 Studio""]","[""W-9000 Studio""]",False,True,False,False,
