appid,total_reviews,positive_reviews,negative_reviews,positive_rate,review_score,review_score_desc,review_language,review_purchase_type,review_type,filter_offtopic_activity,review_collected_at,review_status,schema_error,http_status,request_retry_count,request_latency_seconds,http_429_count
444930,214,170,44,0.794392523364486,6,Mostly Positive,all,steam,all,1,2026-09-13T17:30:51.458204+00:00,success,,200,0,0.45400000000017826,0
1126340,8,7,1,0.875,0,8 user reviews,all,steam,all,1,2026-09-13T17:30:53.710814+00:00,success,,200,0,2.0470000000000255,0
1239360,218,215,3,0.9862385321100917,8,Very Positive,all,steam,all,1,2026-09-13T17:30:55.940817+00:00,success,,200,0,3.0779999999999745,0
1476400,60,48,12,0.8,8,Very Positive,all,steam,all,1,2026-09-13T17:30:57.985390+00:00,success,,200,0,1.1880000000001019,0
1951060,17,14,3,0.8235294117647058,7,Positive,all,steam,all,1,2026-09-13T17:31:00.084415+00:00,success,,200,0,2.094000000000051,0
2829750,0,0,0,,0,No user reviews,all,steam,all,1,2026-09-13T17:31:02.296951+00:00,success,,200,0,2.1720000000000255,0
2893820,6043,3998,2045,0.661591924540791,5,Mixed,all,steam,all,1,2026-09-13T17:31:04.482565+00:00,success,,200,0,2.2660000000000764,0
2924080,9,9,0,1.0,0,9 user reviews,all,steam,all,1,2026-09-13T17:31:06.713205+00:00,success,,200,0,2.2350000000001273,0
2957700,1300,1130,170,0.8692307692307693,8,Very Positive,all,steam,all,1,2026-09-13T17:31:08.806089+00:00,success,,200,0,2.094000000000051,0
3069360,1,1,0,1.0,0,1 user reviews,all,steam,all,1,2026-09-13T17:31:11.023334+00:00,success,,200,0,2.1100000000001273,0
3104410,0,0,0,,0,No user reviews,all,steam,all,1,2026-09-13T17:31:13.174361+00:00,success,,200,0,2.094000000000051,0
3203160,1,1,0,1.0,0,1 user reviews,all,steam,all,1,2026-09-13T17:31:15.229099+00:00,success,,200,0,2.061999999999898,0
3249650,1768,1354,414,0.7658371040723982,6,Mostly Positive,all,steam,all,1,2026-09-13T17:31:17.446716+00:00,success,,200,0,2.25,0
3314790,24602,22175,2427,0.9013494837818063,8,Very Positive,all,steam,all,1,2026-09-13T17:31:19.507442+00:00,success,,200,0,2.0149999999998727,0
3400380,60,59,1,0.9833333333333333,8,Very Positive,all,steam,all,1,2026-09-13T17:31:21.617356+00:00,success,,200,0,2.1399999999998727,0
3601300,2,2,0,1.0,0,2 user reviews,all,steam,all,1,2026-09-13T17:31:23.810254+00:00,success,,200,0,2.1410000000000764,0
3716810,0,0,0,,0,No user reviews,all,steam,all,1,2026-09-13T17:31:25.991884+00:00,success,,200,0,2.344000000000051,0
3733300,0,0,0,,0,No user reviews,all,steam,all,1,2026-09-13T17:31:28.096332+00:00,success,,200,0,1.8589999999999236,0
3797390,2,1,1,0.5,0,2 user reviews,all,steam,all,1,2026-09-13T17:31:30.359509+00:00,success,,200,0,2.2660000000000764,0
3874490,40,38,2,0.95,7,Positive,all,steam,all,1,2026-09-13T17:31:32.533271+00:00,success,,200,0,2.188000000000102,0
3899180,2,2,0,1.0,0,2 user reviews,all,steam,all,1,2026-09-13T17:31:34.613278+00:00,success,,200,0,2.063000000000102,0
3921530,44,24,20,0.5454545454545454,5,Mixed,all,steam,all,1,2026-09-13T17:31:36.710345+00:00,success,,200,0,2.0779999999999745,0
3961740,2,2,0,1.0,0,2 user reviews,all,steam,all,1,2026-09-13T17:31:38.866338+00:00,success,,200,0,2.157000000000153,0
3966170,3,2,1,0.6666666666666666,0,3 user reviews,all,steam,all,1,2026-09-13T17:31:40.886504+00:00,success,,200,0,2.0160000000000764,0
3987620,0,0,0,,0,No user reviews,all,steam,all,1,2026-09-13T17:31:42.914582+00:00,success,,200,0,1.969000000000051,0
3991720,73,64,9,0.8767123287671232,8,Very Positive,all,steam,all,1,2026-09-13T17:31:44.977610+00:00,success,,200,0,2.094000000000051,0
4025860,0,0,0,,0,No user reviews,all,steam,all,1,2026-09-13T17:31:47.158203+00:00,success,,200,0,2.25,0
4050600,0,0,0,,0,No user reviews,all,steam,all,1,2026-09-13T17:31:49.278708+00:00,success,,200,0,1.969000000000051,0
4178160,0,0,0,,0,No user reviews,all,steam,all,1,2026-09-13T17:31:51.433781+00:00,success,,200,0,2.1709999999998217,0
4256310,0,0,0,,0,No user reviews,all,steam,all,1,2026-09-13T17:31:53.480372+00:00,success,,200,0,2.0470000000000255,0
