appid,name,is_free,review_count_bin,comparison_status,comparison_error,current_total_positive,candidate_total_positive,match_total_positive,current_total_negative,candidate_total_negative,match_total_negative,current_total_reviews,candidate_total_reviews,match_total_reviews,current_review_score,candidate_review_score,match_review_score,current_review_score_desc,candidate_review_score_desc,match_review_score_desc,query_summary_match,current_individual_review_count,candidate_individual_review_count,current_response_bytes,candidate_response_bytes,current_raw_wrapper_bytes,candidate_raw_wrapper_bytes,candidate_count_identity,zero_review_check_applicable,candidate_zero_review_semantics
1239360,Genokids,False,50+,success,,215,215,True,3,3,True,218,218,True,8,8,True,Very Positive,Very Positive,True,True,10,1,10981,1130,15451,2090,True,False,True
1476400,Northwind,False,50+,success,,48,48,True,12,12,True,60,60,True,8,8,True,Very Positive,Very Positive,True,True,10,1,24940,5264,29680,6383,True,False,True
1951060,Fantasy Zoo,False,10-19,success,,14,14,True,3,3,True,17,17,True,7,7,True,Positive,Positive,True,True,10,1,16212,1519,20811,2466,True,False,True
3400380,Look Mum No Computer,False,50+,success,,59,59,True,1,1,True,60,60,True,8,8,True,Very Positive,Very Positive,True,True,10,1,11943,3533,16417,4544,True,False,True
3601300,Critter Cart,False,1-9,success,,2,2,True,0,0,True,2,2,True,0,0,True,2 user reviews,2 user reviews,True,True,2,1,5472,4613,6748,5561,True,False,True
3733300,Cauldron Chaos,True,zero,success,,0,0,True,0,0,True,0,0,True,0,0,True,No user reviews,No user reviews,True,True,0,0,184,184,720,758,True,True,True
3874490,Denrei Survivors,False,20-49,success,,38,38,True,2,2,True,40,40,True,7,7,True,Positive,Positive,True,True,10,1,14018,1468,18229,2403,True,False,True
3921530,The Night Gym,False,20-49,success,,24,24,True,20,20,True,44,44,True,5,5,True,Mixed,Mixed,True,True,10,1,14599,3141,18811,4089,True,False,True
3966170,Type Drivers,False,1-9,success,,2,2,True,1,1,True,3,3,True,0,0,True,3 user reviews,3 user reviews,True,True,3,1,4882,2039,6633,3009,True,False,True
4178160,Janky Golf with Stream,True,zero,success,,0,0,True,0,0,True,0,0,True,0,0,True,No user reviews,No user reviews,True,True,0,0,184,184,720,758,True,True,True
