appid,name,is_free,total_reviews,review_count_bin,sample_seed,selection_method
3601300,Critter Cart,False,2,1-9,20250911,seeded_review_count_bin_quota_from_step3b_preflight
3966170,Type Drivers,False,3,1-9,20250911,seeded_review_count_bin_quota_from_step3b_preflight
1951060,Fantasy Zoo,False,17,10-19,20250911,seeded_review_count_bin_quota_from_step3b_preflight
3874490,Denrei Survivors,False,40,20-49,20250911,seeded_review_count_bin_quota_from_step3b_preflight
3921530,The Night Gym,False,44,20-49,20250911,seeded_review_count_bin_quota_from_step3b_preflight
1239360,Genokids,False,218,50+,20250911,seeded_review_count_bin_quota_from_step3b_preflight
1476400,Northwind,False,60,50+,20250911,seeded_review_count_bin_quota_from_step3b_preflight
3400380,Look Mum No Computer,False,60,50+,20250911,seeded_review_count_bin_quota_from_step3b_preflight
3733300,Cauldron Chaos,True,0,zero,20250911,seeded_review_count_bin_quota_from_step3b_preflight
4178160,Janky Golf with Stream,True,0,zero,20250911,seeded_review_count_bin_quota_from_step3b_preflight
