appid,genre_id,genre_name
267390,25,Adventure
427410,1,Action
427410,25,Adventure
427410,28,Simulation
427410,3,RPG
444930,1,Action
444930,18,Sports
444930,23,Indie
444930,28,Simulation
444930,37,Free To Play
444930,4,Casual
444930,9,Racing
496170,23,Indie
496170,25,Adventure
496170,4,Casual
497880,2,Strategy
497880,23,Indie
497880,4,Casual
523630,1,Action
523630,23,Indie
523630,25,Adventure
533610,1,Action
533610,23,Indie
533610,25,Adventure
541300,1,Action
541300,23,Indie
541300,25,Adventure
541300,28,Simulation
541300,29,Massively Multiplayer
606160,1,Action
606160,23,Indie
606160,25,Adventure
633080,1,Action
633080,23,Indie
633080,25,Adventure
633080,3,RPG
660200,1,Action
660200,2,Strategy
660200,23,Indie
660200,4,Casual
660200,70,Early Access
662000,2,Strategy
662000,23,Indie
662000,28,Simulation
662000,37,Free To Play
690320,1,Action
690320,23,Indie
766500,1,Action
766500,23,Indie
766500,25,Adventure
832360,2,Strategy
832360,23,Indie
832360,28,Simulation
832360,4,Casual
863970,1,Action
863970,23,Indie
887330,1,Action
887330,2,Strategy
990380,1,Action
990380,25,Adventure
993770,1,Action
993770,2,Strategy
993770,23,Indie
993770,37,Free To Play
1004640,2,Strategy
1004640,3,RPG
1024820,1,Action
1024820,18,Sports
1024820,23,Indie
1024820,28,Simulation
1024820,70,Early Access
1033380,23,Indie
1056170,1,Action
1056170,23,Indie
1057580,1,Action
1057580,23,Indie
1057580,28,Simulation
1057580,4,Casual
1058230,23,Indie
1058230,4,Casual
1058710,2,Strategy
1058710,23,Indie
1058710,28,Simulation
1058710,3,RPG
1101650,1,Action
1101650,18,Sports
1101650,23,Indie
1101650,28,Simulation
1101650,3,RPG
1101650,70,Early Access
1101650,9,Racing
1126340,23,Indie
1141550,1,Action
1141550,23,Indie
1141550,25,Adventure
1141550,28,Simulation
1141550,4,Casual
1151990,2,Strategy
1151990,23,Indie
1151990,25,Adventure
1151990,4,Casual
1154140,2,Strategy
1154140,23,Indie
1154140,25,Adventure
1154140,28,Simulation
1154140,3,RPG
1154140,4,Casual
1156820,1,Action
1156820,23,Indie
1156820,3,RPG
1166940,1,Action
1166940,23,Indie
1166940,25,Adventure
1170570,23,Indie
1170570,25,Adventure
1191050,1,Action
1191050,23,Indie
1191050,25,Adventure
1191050,9,Racing
1194040,23,Indie
1194040,4,Casual
1201700,2,Strategy
1201700,23,Indie
1201700,28,Simulation
1239360,1,Action
1239360,23,Indie
1239360,25,Adventure
1239360,70,Early Access
1264970,2,Strategy
1264970,23,Indie
1273640,23,Indie
1273640,25,Adventure
1273640,4,Casual
1274700,1,Action
1274700,23,Indie
1274700,70,Early Access
1275550,23,Indie
1275550,25,Adventure
1283360,1,Action
1283360,23,Indie
1292460,1,Action
1292460,23,Indie
1292460,25,Adventure
1292460,3,RPG
1295870,2,Strategy
1295870,3,RPG
1296660,1,Action
1296660,2,Strategy
1296660,23,Indie
1296660,25,Adventure
1298430,2,Strategy
1298430,23,Indie
1298430,3,RPG
1298430,70,Early Access
1308940,23,Indie
1308940,25,Adventure
1308940,4,Casual
1329030,23,Indie
1329030,4,Casual
1330360,2,Strategy
1330360,28,Simulation
1330360,3,RPG
1330360,70,Early Access
1342490,1,Action
1342690,23,Indie
1342690,25,Adventure
1344550,1,Action
1344550,23,Indie
1344550,3,RPG
1380990,1,Action
1380990,23,Indie
1380990,25,Adventure
1386750,1,Action
1386750,23,Indie
1386750,25,Adventure
1386750,3,RPG
1395520,25,Adventure
1408090,23,Indie
1408090,28,Simulation
1408090,4,Casual
1408730,1,Action
1408730,23,Indie
1408730,25,Adventure
1410450,1,Action
1410450,25,Adventure
1410450,37,Free To Play
1421250,23,Indie
1421250,25,Adventure
1423630,1,Action
1423630,18,Sports
1423630,2,Strategy
1423630,23,Indie
1423630,25,Adventure
1423630,28,Simulation
1423630,3,RPG
1423630,4,Casual
1425980,23,Indie
1425980,25,Adventure
1425980,28,Simulation
1425980,29,Massively Multiplayer
1425980,4,Casual
1427070,1,Action
1427070,23,Indie
1427070,4,Casual
1427070,70,Early Access
1447820,1,Action
1447820,23,Indie
1447820,25,Adventure
1447820,3,RPG
1449110,1,Action
1449110,25,Adventure
1449110,3,RPG
1456570,23,Indie
1456570,25,Adventure
1456570,4,Casual
1471650,1,Action
1471650,23,Indie
1471650,25,Adventure
1476400,2,Strategy
1476400,23,Indie
1476400,70,Early Access
1509970,2,Strategy
1509970,23,Indie
1509970,28,Simulation
1517560,1,Action
1517560,23,Indie
1517560,25,Adventure
1533140,28,Simulation
1533140,4,Casual
1538550,25,Adventure
1538550,4,Casual
1541370,28,Simulation
1548180,1,Action
1548180,2,Strategy
1548180,23,Indie
1548180,25,Adventure
1548180,70,Early Access
1556010,1,Action
1556010,18,Sports
1556010,9,Racing
1558800,23,Indie
1558800,4,Casual
1560160,1,Action
1560160,23,Indie
1560160,25,Adventure
1560160,3,RPG
1560160,4,Casual
1567530,23,Indie
1567530,25,Adventure
1574570,23,Indie
1574570,25,Adventure
1574570,28,Simulation
1574570,3,RPG
1574570,4,Casual
1575810,23,Indie
1575810,25,Adventure
1575810,3,RPG
1581370,2,Strategy
1581370,23,Indie
1581370,3,RPG
1581370,37,Free To Play
1583540,23,Indie
1583540,28,Simulation
1583540,70,Early Access
1594040,1,Action
1594040,9,Racing
1599420,1,Action
1599420,23,Indie
1599420,25,Adventure
1605250,1,Action
1605250,2,Strategy
1605250,23,Indie
1620730,1,Action
1620730,25,Adventure
1622630,1,Action
1622630,25,Adventure
1623120,1,Action
1623120,9,Racing
1633070,1,Action
1633070,23,Indie
1633070,25,Adventure
1633070,4,Casual
1633070,70,Early Access
1639710,1,Action
1639710,23,Indie
1644700,1,Action
1644700,25,Adventure
1645630,1,Action
1645630,23,Indie
1645630,25,Adventure
1652400,2,Strategy
1652400,23,Indie
1652400,25,Adventure
1652400,28,Simulation
1652400,4,Casual
1657630,1,Action
1657630,23,Indie
1657630,25,Adventure
1657630,28,Simulation
1657630,4,Casual
1660960,1,Action
1660960,23,Indie
1660960,25,Adventure
1665260,1,Action
1665260,23,Indie
1665260,25,Adventure
1670690,1,Action
1670690,23,Indie
1670690,25,Adventure
1670690,70,Early Access
1674150,2,Strategy
1674150,4,Casual
1689390,1,Action
1689390,23,Indie
1689390,25,Adventure
1689390,3,RPG
1689390,70,Early Access
1693040,1,Action
1693040,18,Sports
1693040,23,Indie
1693040,9,Racing
1699230,1,Action
1699230,23,Indie
1699230,25,Adventure
1710260,23,Indie
1710260,25,Adventure
1710260,4,Casual
1711790,23,Indie
1714530,1,Action
1714530,25,Adventure
1714530,3,RPG
1715860,1,Action
1715860,23,Indie
1717400,23,Indie
1717400,25,Adventure
1718460,1,Action
1724030,2,Strategy
1724030,3,RPG
1724030,70,Early Access
1727750,2,Strategy
1727750,23,Indie
1731000,23,Indie
1731000,3,RPG
1731000,4,Casual
1735700,2,Strategy
1735700,23,Indie
1735700,25,Adventure
1735700,28,Simulation
1735700,3,RPG
1748160,1,Action
1748160,2,Strategy
1748160,23,Indie
1748160,25,Adventure
1748160,28,Simulation
1748160,3,RPG
1752780,1,Action
1752780,25,Adventure
1757300,1,Action
1757300,23,Indie
1757300,25,Adventure
1757300,70,Early Access
1803850,4,Casual
1805570,2,Strategy
1805570,23,Indie
1817500,1,Action
1817500,23,Indie
1820100,1,Action
1820100,23,Indie
1820100,25,Adventure
1820100,4,Casual
1821550,1,Action
1821550,28,Simulation
1821550,70,Early Access
1829920,1,Action
1829920,23,Indie
1829920,4,Casual
1844460,1,Action
1844460,23,Indie
1844460,25,Adventure
1856490,2,Strategy
1856490,23,Indie
1856490,3,RPG
1858790,23,Indie
1858790,25,Adventure
1860290,1,Action
1860290,23,Indie
1860290,29,Massively Multiplayer
1861410,1,Action
1861410,2,Strategy
1864000,23,Indie
1864000,25,Adventure
1864000,3,RPG
1864000,4,Casual
1866640,1,Action
1866640,23,Indie
1867750,23,Indie
1867750,4,Casual
1869290,1,Action
1869290,23,Indie
1869290,25,Adventure
1869290,70,Early Access
1869780,1,Action
1869780,23,Indie
1869780,25,Adventure
1869780,3,RPG
1869780,70,Early Access
1876360,1,Action
1880620,1,Action
1880620,4,Casual
1891030,1,Action
1891030,23,Indie
1893440,1,Action
1893440,23,Indie
1893440,25,Adventure
1893440,3,RPG
1893440,70,Early Access
1909840,1,Action
1909840,23,Indie
1909840,25,Adventure
1909840,28,Simulation
