sample_id,appid,name,release_date,release_month,developer,publisher,is_free,platform_windows,platform_mac,platform_linux,appdetails_status,app_type,list_price_cents,current_price_cents,discount_percent,price_currency,price_overview_present,list_price_usd,current_price_usd,metadata_collected_at,search_release_date,store_release_date,release_date_conflict,is_early_access,sample_seed,sampling_stratum,sampling_source
1,2424480,No Heroes Here 2,2025-07-01,2025-07,"[""Mad Mimic""]","[""Mad Mimic""]",False,True,False,False,success,game,1999,1999,0,USD,True,19.99,19.99,2026-09-12T13:42:20.128554+00:00,2025-07-01,2025-07-01,False,,20250911,2025-07,proportional_stratified_random_sample
2,2471390,BloodRush: Undying Wish,2025-07-01,2025-07,"[""Lightmancer Studios""]","[""Nuntius Games"",""Vsoo Games""]",False,True,False,True,success,game,999,799,20,USD,True,9.99,7.99,2026-09-12T13:44:57.872188+00:00,2025-07-01,2025-07-01,False,,20250911,2025-07,proportional_stratified_random_sample
3,3082100,Day of the Shell: Prologue,2025-07-01,2025-07,"[""Duper Games""]","[""Goblinz Publishing""]",True,True,False,False,success,game,,,,,False,,,2026-09-12T14:23:09.755144+00:00,2025-07-01,2025-07-01,False,,20250911,2025-07,proportional_stratified_random_sample
4,3224330,Thunderman - Adventures in another realm,2025-07-01,2025-07,"[""Robson ZImmermann"",""João Agostinho Gabardo Neto""]","[""Experia Studio""]",False,True,False,False,success,game,99,99,0,USD,True,0.99,0.99,2026-09-12T14:38:32.112700+00:00,2025-07-01,2025-07-01,False,,20250911,2025-07,proportional_stratified_random_sample
5,3276950,Cardcaster,2025-07-01,2025-07,"[""Taco Snake Games""]","[""Taco Snake Games""]",False,True,False,False,success,game,399,399,0,USD,True,3.99,3.99,2026-09-12T14:43:52.501558+00:00,2025-07-01,2025-07-01,False,,20250911,2025-07,proportional_stratified_random_sample
6,3363570,Symphorix,2025-07-01,2025-07,"[""OnTriggerJoy""]","[""OnTriggerJoy""]",False,True,False,False,success,game,599,599,0,USD,True,5.99,5.99,2026-09-12T15:01:12.048995+00:00,2025-07-01,2025-07-01,False,,20250911,2025-07,proportional_stratified_random_sample
7,3449030,"Upwards, Rain! The Post Office of Farewells",2025-07-01,2025-07,"[""Studio Élan""]","[""Studio Élan"",""Studio Elan"",""Stellar Artificer Games""]",False,True,True,True,success,game,799,799,0,USD,True,7.99,7.99,2026-09-12T15:15:13.480318+00:00,2025-07-01,2025-07-01,False,,20250911,2025-07,proportional_stratified_random_sample
8,3491430,Mini Star Quest,2025-07-01,2025-07,"[""MACKINN7""]","[""MACKINN7""]",False,True,False,False,success,game,1499,1499,0,USD,True,14.99,14.99,2026-09-12T15:22:07.235475+00:00,2025-07-01,2025-07-01,False,,20250911,2025-07,proportional_stratified_random_sample
9,3505350,Brainkilled,2025-07-01,2025-07,"[""Brainkilled Games""]","[""Brainkilled Games""]",False,True,False,False,success,game,599,599,0,USD,True,5.99,5.99,2026-09-12T15:24:21.009938+00:00,2025-07-01,2025-07-01,False,,20250911,2025-07,proportional_stratified_random_sample
10,3580760,Concrete Spaces,2025-07-01,2025-07,"[""Samuli Pietikäinen""]","[""olisinpa.com/täällä""]",False,True,False,False,success,game,499,499,0,USD,True,4.99,4.99,2026-09-12T15:37:58.562504+00:00,2025-07-01,2025-07-01,False,,20250911,2025-07,proportional_stratified_random_sample
